CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
10001,1,1802,926,145,0.0552486187845304,0.5138734739178691
10002,2,2512,1237,89,0.0136546184738956,0.4924363057324841
10003,3,1195,675,51,0.0237037037037037,0.5648535564853556
10004,4,1567,853,40,0.0173210161662818,0.5443522654754308
10005,5,296,191,7,0.0208333333333333,0.6452702702702703
10006,6,1441,650,129,0.0675675675675676,0.45107564191533656
10007,7,1403,536,239,0.0907407407407407,0.3820384889522452
10008,8,354,150,66,0.131944444444444,0.423728813559322
10009,9,1319,706,63,0.0210378681626928,0.535253980288097
10010,10,547,260,38,0.0538461538461538,0.4753199268738574
10011,11,1274,645,42,0.0092735703245749,0.5062794348508635
10013,12,1747,874,179,0.0658342792281498,0.5002862049227247
10015,13,925,546,53,0.0306859205776173,0.5902702702702702
10016,14,813,448,37,0.0308370044052863,0.5510455104551045
10017,15,834,443,59,0.0379464285714286,0.5311750599520384
10018,16,2043,1118,50,0.0201754385964912,0.5472344591287323
10019,17,2209,1050,194,0.0700094607379376,0.47532820280669985
10020,18,1137,561,144,0.06070826306914,0.49340369393139843
10021,19,1819,987,114,0.0324607329842932,0.54260582737768
10022,20,990,634,42,0.0223285486443381,0.6404040404040404
10023,21,1289,780,36,0.0127226463104326,0.6051202482544609
10024,22,816,494,22,0.016,0.6053921568627451
30001,23,2201,845,915,0.301549463647199,0.3839164016356202
30002,24,2600,1345,696,0.181547619047619,0.5173076923076924
30003,25,2439,1060,978,0.259887005649718,0.43460434604346043
30004,26,2332,881,1127,0.352402745995423,0.37778730703259006
50001,27,560,226,150,0.186363636363636,0.4035714285714286
50002,28,2551,1010,491,0.154385964912281,0.39592316738533906
50003,29,1823,869,204,0.0965116279069767,0.47668678003291276
50004,30,1977,859,244,0.0860849056603774,0.43449671219018715
50005,31,2001,920,275,0.102449888641425,0.45977011494252873
50006,32,614,341,56,0.0483383685800604,0.5553745928338762
50007,33,1206,726,66,0.0381991814461119,0.6019900497512438
50008,34,691,461,17,0.025,0.6671490593342981
50009,35,294,195,18,0.0358974358974359,0.6632653061224489
50010,36,1182,433,180,0.126094570928196,0.3663282571912014
50010,37,145,51,35,0.126984126984127,0.35172413793103446
50011,38,2075,1210,65,0.0230179028132992,0.5831325301204819
50012,39,866,478,51,0.038135593220339,0.5519630484988453
50013,40,696,339,89,0.102941176470588,0.4870689655172414
50014,41,1839,1089,177,0.069060773480663,0.5921696574225123
50015,42,670,356,153,0.156862745098039,0.5313432835820896
50016,43,2216,917,841,0.305986696230599,0.4138086642599278
50017,44,1496,880,23,0.0124858115777526,0.5882352941176471
50018,45,686,338,61,0.0581039755351682,0.49271137026239065
50019,46,1426,941,71,0.0405982905982906,0.6598877980364657
50020,47,2930,1089,550,0.149906890130354,0.37167235494880546
50021,48,735,417,20,0.0632603406326034,0.5673469387755102
50022,49,1783,972,71,0.0307692307692308,0.5451486259113854
50023,50,453,298,18,0.0251798561151079,0.6578366445916115
50024,51,2672,1268,344,0.092443729903537,0.4745508982035928
50025,52,2294,1190,258,0.0891341256366723,0.5187445510026155
50026,53,1570,999,74,0.0298804780876494,0.6363057324840764
50027,54,360,227,14,0.0275229357798165,0.6305555555555555
50028,55,1115,676,151,0.104387291981846,0.6062780269058295
50029,56,1523,834,90,0.0459492140266022,0.5476034143138543
50030,57,1049,563,24,0.017825311942959,0.5367016205910391
50031,58,458,201,107,0.182741116751269,0.4388646288209607
50032,59,28,14,0,0.0,0.5
50033,60,1458,838,23,0.0153664302600473,0.5747599451303155
50034,61,2219,1279,122,0.0427215189873418,0.5763857593510591
50035,62,1847,1122,107,0.0486295313881521,0.607471575527883
50037,63,480,272,56,0.0959409594095941,0.5666666666666667
50038,64,422,209,62,0.145539906103286,0.495260663507109
50039,65,537,276,42,0.0592334494773519,0.5139664804469274
50040,66,762,405,80,0.0989847715736041,0.531496062992126
5011,67,1293,567,37,0.0275735294117647,0.4385150812064965
5017,68,480,210,4,0.019047619047619,0.4375
70001,69,2216,1182,294,0.112141652613828,0.5333935018050542
70002,70,3714,1540,1161,0.241533546325879,0.4146472805600431
70003,71,4305,2554,424,0.0760233918128655,0.5932636469221835
70004,72,3909,2298,359,0.0673960612691466,0.5878741366078281
7001,73,1884,712,392,0.138222849083216,0.37791932059447986
7004,74,1130,702,98,0.0693069306930693,0.6212389380530974
90001,75,1387,723,54,0.0236111111111111,0.5212689257390051
90002,76,728,471,14,0.0105042016806723,0.646978021978022
90003,77,384,222,24,0.0315315315315315,0.578125
90004,78,660,399,39,0.0075949367088607,0.6045454545454545
90005,79,177,101,1,0.0099009900990099,0.5706214689265536
90006,80,1179,623,32,0.0112359550561798,0.5284139100932994
90007,81,227,132,4,0.0076335877862595,0.5814977973568282
90008,82,323,214,9,0.0138248847926267,0.6625386996904025
90009,83,145,93,1,0.0,0.6413793103448275
90010,84,796,506,25,0.0276679841897233,0.635678391959799
90011,85,28,18,8,0.0555555555555556,0.6428571428571429
90012,86,90,57,0,0.0185185185185185,0.6333333333333333
90013,87,135,87,0,0.0,0.6444444444444445
110101,88,361,240,13,0.031390134529148,0.6648199445983379
110201,89,234,142,13,0.0486111111111111,0.6068376068376068
110202,90,77,50,1,0.0,0.6493506493506493
110301,91,317,202,11,0.0247524752475248,0.637223974763407
110303,92,65,37,2,0.03125,0.5692307692307692
110401,93,151,104,5,0.0196078431372549,0.6887417218543046
110402,94,179,109,8,0.0275229357798165,0.6089385474860335
110404,95,30,19,0,0.0,0.6333333333333333
130001,96,828,379,312,0.284960422163588,0.4577294685990338
130003,97,1432,539,655,0.374768089053803,0.37639664804469275
130004,98,866,319,487,0.5,0.3683602771362587
130005,99,1497,545,994,0.523897058823529,0.364061456245825
130006,100,363,134,164,0.544776119402985,0.3691460055096419
130007,101,1740,674,1070,0.496350364963504,0.3873563218390805
130008,102,503,267,238,0.415441176470588,0.5308151093439364
130009,103,2143,861,1298,0.511467889908257,0.40177321511899206
130010,104,451,227,238,0.462555066079295,0.5033259423503326
130011,105,1560,834,755,0.420863309352518,0.5346153846153846
130012,106,1290,598,740,0.500840336134454,0.4635658914728682
130013,107,2466,1122,1098,0.363232682060391,0.45498783454987834
130014,108,193,94,48,0.414893617021277,0.48704663212435234
130015,109,2637,1070,1595,0.48876404494382,0.40576412590064465
130017,110,2213,860,1752,0.736596736596737,0.3886127428829643
130018,111,1626,700,1073,0.530346820809249,0.43050430504305043
130019,112,458,207,201,0.319047619047619,0.4519650655021834
130020,113,3414,1967,987,0.22547508988187,0.5761570005858231
130021,114,921,501,322,0.203125,0.5439739413680782
130022,115,694,410,257,0.338199513381995,0.590778097982709
150101,116,1369,730,147,0.0612244897959184,0.533235938641344
150102,117,1320,799,127,0.0647208121827411,0.6053030303030303
150103,118,1407,932,76,0.0387096774193548,0.6624022743425728
150104,119,788,478,83,0.0587002096436059,0.6065989847715736
150205,120,2651,1603,185,0.0424469413233458,0.6046774801961524
150206,121,1239,816,54,0.0403916768665851,0.6585956416464891
150207,122,696,454,44,0.0353982300884956,0.6522988505747126
150208,123,589,420,23,0.0288461538461538,0.7130730050933786
150309,124,575,392,50,0.0609137055837563,0.6817391304347826
150310,125,2714,1437,446,0.117771509167842,0.5294767870302137
150311,126,1172,500,351,0.135313531353135,0.42662116040955633
150412,127,663,343,70,0.0747126436781609,0.5173453996983409
150413,128,1369,831,202,0.0922155688622754,0.6070124178232287
150414,129,1332,685,290,0.145185185185185,0.5142642642642643
150415,130,1509,735,310,0.128686327077748,0.4870775347912525
170001,131,1035,493,399,0.276073619631902,0.47632850241545893
170002,132,1118,619,270,0.138662316476346,0.5536672629695886
170003,133,861,291,476,0.366782006920415,0.33797909407665505
170004,134,560,200,436,0.573684210526316,0.35714285714285715
170004,135,115,11,21,0.619047619047619,0.09565217391304348
190101,136,1591,932,171,0.0747065101387407,0.5857950974230044
190102,137,2569,1608,275,0.0901741293532338,0.6259244842351109
190203,138,2229,1279,266,0.110764430577223,0.5737999102736653
190204,139,1627,953,241,0.131164742917104,0.5857406269207129
190305,140,2708,1518,363,0.0906684315023163,0.5605612998522895
190306,141,1449,935,103,0.0534188034188034,0.6452726017943409
190407,142,2116,1431,191,0.0719776380153739,0.6762759924385633
190408,143,258,190,15,0.0518134715025907,0.7364341085271318
190409,144,836,433,127,0.122352941176471,0.5179425837320574
190410,145,494,358,29,0.0508474576271186,0.7246963562753036
211001,146,322,213,22,0.0976744186046512,0.6614906832298136
211002,147,531,351,51,0.101408450704225,0.6610169491525424
211003,148,1995,1319,240,0.101427498121713,0.6611528822055138
211004,149,1941,1114,290,0.122727272727273,0.5739309634209171
211005,150,972,614,111,0.10586319218241,0.6316872427983539
211006,151,2493,1143,709,0.24469964664311,0.4584837545126354
211007,152,1532,956,151,0.103049421661409,0.6240208877284595
211008,153,1117,698,172,0.10632183908046,0.6248880931065354
211009,154,2135,1210,442,0.161397670549085,0.5667447306791569
212010,155,696,415,66,0.0975609756097561,0.5962643678160919
212011,156,1357,864,167,0.105990783410138,0.636698599852616
212012,157,1169,735,97,0.0717185385656292,0.6287425149700598
212013,158,2664,1704,316,0.102004716981132,0.6396396396396397
212014,159,2652,1610,316,0.0877626699629172,0.6070889894419306
212015,160,2844,1700,303,0.0783382789317507,0.5977496483825597
212016,161,2338,1488,180,0.0567567567567568,0.6364414029084687
213017,162,2390,1430,308,0.106591865357644,0.5983263598326359
