CNTYVTD,VTDKEY,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
0010001,1,659,261,6
0010002,2,1062,168,7
0010003,3,571,99,4
0010004,4,752,97,3
0010005,5,179,11,1
0010006,6,263,383,4
0010007,7,88,445,2
0010008,8,44,105,1
0010009,9,563,132,8
0010010,10,231,26,1
0010011,11,495,148,2
0010013,12,604,259,9
0010015,13,476,63,6
0010016,14,351,91,3
0010017,15,341,97,4
0010018,16,920,185,8
0010019,17,795,242,9
0010020,18,409,146,6
0010021,19,845,137,3
0010022,20,533,99,0
0010023,21,702,74,4
0010024,22,452,39,3
0030001,23,657,182,6
0030002,24,1158,179,8
0030003,25,843,216,1
0030004,26,680,199,2
0050001,27,125,99,0
0050002,28,259,732,5
0050003,29,702,156,6
0050004,30,534,315,7
0050005,31,513,398,6
0050006,32,268,69,2
0050007,33,642,82,2
0050008,34,408,49,2
0050009,35,147,48,0
0050010,36,226,201,1
0050010,37,27,25,0
0050011,38,1097,105,6
0050012,39,389,86,1
0050013,40,188,144,4
0050014,41,758,316,5
0050015,42,290,66,0
0050016,43,438,469,6
0050017,44,769,105,5
0050018,45,221,111,4
0050019,46,635,298,7
0050020,47,148,921,7
0050021,48,315,99,2
0050022,49,831,132,5
0050023,50,266,32,1
0050024,51,986,264,14
0050025,52,983,198,7
0050026,53,877,116,4
0050027,54,202,23,1
0050028,55,533,134,6
0050029,56,693,131,6
0050030,57,513,42,4
0050031,58,148,53,0
0050032,59,13,0,0
0050033,60,770,63,2
0050034,61,921,347,11
0050035,62,846,269,2
0050037,63,223,43,3
0050038,64,172,35,2
0050039,65,180,94,1
0050040,66,250,149,4
005011,67,465,97,2
005017,68,195,14,0
0070001,69,936,237,9
0070002,70,1017,511,12
0070003,71,1895,647,12
0070004,72,1726,552,16
007001,73,550,154,5
007004,74,553,146,2
0090001,75,639,63,5
0090002,76,421,46,2
0090003,77,193,27,2
0090004,78,379,17,0
0090005,79,91,8,2
0090006,80,531,78,4
0090007,81,121,9,1
0090008,82,180,30,0
0090009,83,84,8,0
0090010,84,429,72,2
0090011,85,15,3,0
0090012,86,48,7,0
0090013,87,77,8,0
0110101,88,225,14,0
0110201,89,120,21,2
0110202,90,43,7,0
0110301,91,189,10,3
0110303,92,26,10,0
0110401,93,96,6,0
0110402,94,101,6,1
0110404,95,19,0,0
0130001,96,280,94,3
0130003,97,327,202,8
0130004,98,168,145,6
0130005,99,277,260,4
0130006,100,68,64,2
0130007,101,413,241,13
0130008,102,168,93,2
0130009,103,497,349,13
0130010,104,139,85,2
0130011,105,534,284,11
0130012,106,358,234,5
0130013,107,750,353,7
0130014,108,67,26,1
0130015,109,596,453,10
0130017,110,321,509,8
0130018,111,431,255,6
0130019,112,149,55,0
0130020,113,1488,457,11
0130021,114,406,86,4
0130022,115,316,87,3
0150101,116,576,137,9
0150102,117,618,171,4
0150103,118,787,127,11
0150104,119,400,75,2
0150205,120,1299,278,11
0150206,121,688,114,5
0150207,122,383,65,1
0150208,123,328,82,3
0150309,124,358,34,0
0150310,125,1097,316,11
0150311,126,232,253,2
0150412,127,234,103,2
0150413,128,695,129,4
0150414,129,500,164,13
0150415,130,527,193,6
0170001,131,368,123,2
0170002,132,531,88,0
0170003,133,189,99,3
0170004,134,108,90,2
0170004,135,6,5,0
0190101,136,750,168,9
0190102,137,1283,304,15
0190203,138,960,305,9
0190204,139,702,234,11
0190305,140,1237,258,11
0190306,141,785,135,7
0190407,142,1172,249,7
0190408,143,134,55,1
0190409,144,327,96,4
0190410,145,293,61,2
0211001,146,122,87,2
0211002,147,202,141,3
0211003,148,757,544,12
0211004,149,521,572,7
0211005,150,338,269,2
0211006,151,562,569,10
0211007,152,538,410,7
0211008,153,393,299,6
0211009,154,643,545,15
0212010,155,233,171,10
0212011,156,480,368,9
0212012,157,453,267,9
0212013,158,968,703,27
0212014,159,1051,531,20
0212015,160,933,732,21
0212016,161,1052,410,16
0213017,162,870,532,17
0213018,163,627,316,12
0213019,164,613,616,13
0213020,165,475,772,12
0214021,166,840,726,16
0214022,167,581,603,18
0214023,168,415,252,11
0214024,169,501,431,14
0214025,170,472,620,10
0214026,171,427,596,13
0230001,172,289,36,5
0230002,173,270,42,3
0230003,174,242,41,1
0230004,175,271,37,0
0250001,176,601,391,10
0250002,177,250,61,2
0250003,178,432,287,5
0250004,179,222,87,1
0250005,180,344,128,1
0250006,181,407,200,5
0250009,182,103,231,3
0250010,183,212,316,7
0250013,184,430,225,7
0250016,185,304,212,9
0250017,186,264,246,3
0250018,187,706,264,7
0250019,188,67,163,4
0270101,189,1182,465,18
