CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
0050010,37,0,3,1,0,0,0,0,2,0,0,1,4
0050011,38,7,5,0,2,3,1,10,1,0,0,6,9
0050012,39,3,3,4,0,10,0,4,1,1,4,5,5
0050013,40,5,5,7,2,6,2,9,2,0,0,10,7
0050014,41,20,6,9,5,13,2,27,3,1,2,8,34
0050015,42,2,2,0,1,4,1,0,3,1,1,1,4
0050016,43,13,10,10,2,27,6,17,16,5,3,22,15
0050017,44,9,8,7,1,5,2,10,0,1,0,3,9
0050018,45,9,3,9,0,4,0,9,3,1,2,8,5
0050019,46,11,7,6,2,11,6,37,5,1,2,8,29
0050020,47,28,37,33,18,26,15,33,14,3,6,19,136
0050021,48,3,3,2,1,2,1,9,1,3,0,6,13
0050022,49,15,6,5,3,11,1,14,0,2,2,16,6
0050023,50,2,1,1,0,2,1,2,0,0,1,1,3
0050024,51,9,9,5,1,9,5,19,2,2,2,18,15
0050025,52,8,2,6,2,7,4,9,3,1,2,15,14
0050026,53,11,4,5,1,4,1,15,3,3,0,1,13
0050027,54,1,0,2,0,1,0,0,0,0,0,1,2
0050028,55,3,3,6,0,8,1,7,2,1,0,9,4
0050029,56,5,6,7,0,3,3,12,2,1,1,6,9
0050030,57,3,2,0,1,0,0,7,1,0,1,1,4
0050031,58,2,2,2,0,1,0,3,1,0,0,1,0
0050032,59,1,0,0,0,0,0,0,0,0,0,0,0
0050033,60,4,2,2,0,2,0,8,1,1,0,3,10
0050034,61,27,12,6,5,12,1,39,11,1,1,17,28
0050035,62,12,13,17,0,8,6,24,4,2,1,15,17
0050037,63,2,1,0,2,3,0,1,0,1,0,5,9
0050038,64,1,1,1,1,1,2,1,4,0,0,4,1
0050039,65,2,6,2,1,4,0,7,1,0,0,4,9
0050040,66,6,6,8,2,9,1,11,2,1,2,4,17
005011,67,7,5,4,2,2,1,7,2,0,0,6,9
005017,68,0,1,0,0,1,0,3,1,1,0,1,3
0070001,69,6,6,21,5,8,5,34,3,2,1,20,9
0070002,70,7,7,22,5,25,5,36,4,4,4,45,8
0070003,71,8,13,38,8,32,14,88,4,9,5,51,20
0070004,72,17,10,42,4,20,12,84,10,7,4,52,15
007001,73,2,2,10,1,10,3,10,1,3,0,17,5
007004,74,5,2,11,3,10,2,11,2,3,1,11,5
0090001,75,2,1,3,0,3,1,4,0,1,1,3,2
0090002,76,5,2,2,0,3,0,2,0,1,0,0,4
0090003,77,3,0,0,0,0,0,0,0,0,0,2,1
0090004,78,0,0,1,0,1,0,2,1,0,0,1,1
0090005,79,0,0,1,0,0,0,4,0,0,0,1,0
0090006,80,5,3,0,0,0,1,6,2,0,1,2,1
0090007,81,0,0,0,0,1,0,1,0,0,0,1,0
0090008,82,1,0,1,0,2,1,5,1,1,1,0,1
0090009,83,0,0,0,0,0,0,0,0,0,0,0,0
0090010,84,5,0,7,1,6,4,12,2,0,1,2,2
0090011,85,0,1,0,0,0,0,0,0,0,0,0,0
0090012,86,0,1,2,0,0,0,0,0,0,0,0,0
0090013,87,0,0,1,0,0,0,1,0,0,0,0,0
0110101,88,2,0,0,0,0,1,0,0,0,0,0,0
0110201,89,1,0,0,0,0,0,2,0,0,0,0,0
0110202,90,1,1,0,0,0,0,0,0,0,0,3,0
0110301,91,2,1,0,0,0,0,0,1,0,0,0,0
0110303,92,3,0,0,1,1,0,1,0,0,0,0,0
0110401,93,0,0,0,0,0,0,0,0,0,0,0,0
0110402,94,2,0,0,0,0,0,0,0,0,0,0,0
0110404,95,0,0,0,0,0,0,0,0,0,0,0,0
