CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President,BennetD_20P_President_Percentage,BidenD_20P_President_Percentage,BloombergD_20P_President_Percentage,BookerD_20P_President_Percentage,CastroD_20P_President_Percentage,De La FuenteD_20P_President_Percentage,DelaneyD_20P_President_Percentage,GabbardD_20P_President_Percentage,KlobucharD_20P_President_Percentage,PatrickD_20P_President_Percentage,SandersD_20P_President_Percentage,SteyerD_20P_President_Percentage,WarrenD_20P_President_Percentage,WellsD_20P_President_Percentage,WilliamsonD_20P_President_Percentage,YangD_20P_President_Percentage,ButtigiegD_20P_President_Percentage
10019,17,0,62,18,0,0,0,0,0,0,0,28,1,3,0,0,0,3,0.0,0.5391304347826087,0.1565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24347826086956523,0.008695652173913044,0.02608695652173913,0.0,0.0,0.0,0.02608695652173913
10020,18,0,42,16,0,2,0,0,1,0,0,16,0,4,0,0,0,3,0.0,0.5,0.19047619047619047,0.0,0.023809523809523808,0.0,0.0,0.011904761904761904,0.0,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.0,0.03571428571428571
10021,19,0,28,14,0,0,1,0,0,1,0,14,2,1,0,0,0,4,0.0,0.4307692307692308,0.2153846153846154,0.0,0.0,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.2153846153846154,0.03076923076923077,0.015384615384615385,0.0,0.0,0.0,0.06153846153846154
10022,20,0,26,8,2,0,1,0,0,0,0,7,1,3,2,0,0,3,0.0,0.49056603773584906,0.1509433962264151,0.03773584905660377,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.1320754716981132,0.018867924528301886,0.05660377358490566,0.03773584905660377,0.0,0.0,0.05660377358490566
10023,21,0,35,4,0,0,0,0,0,0,0,10,5,4,0,0,0,0,0.0,0.603448275862069,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.08620689655172414,0.06896551724137931,0.0,0.0,0.0,0.0
10024,22,0,14,4,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0.0,0.56,0.16,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.04,0.0,0.0,0.0,0.0,0.0
30001,23,0,23,5,0,1,0,0,0,0,0,17,0,6,0,0,0,1,0.0,0.4339622641509434,0.09433962264150944,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.32075471698113206,0.0,0.11320754716981132,0.0,0.0,0.0,0.018867924528301886
30002,24,0,20,9,0,0,0,0,0,0,0,19,0,6,0,0,0,2,0.0,0.35714285714285715,0.16071428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3392857142857143,0.0,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571
30003,25,0,19,13,1,0,0,0,0,1,0,25,2,4,0,0,1,0,0.0,0.2878787878787879,0.19696969696969696,0.015151515151515152,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.3787878787878788,0.030303030303030304,0.06060606060606061,0.0,0.0,0.015151515151515152,0.0
30004,26,0,19,6,0,1,0,0,0,1,0,23,0,6,0,0,0,0,0.0,0.3392857142857143,0.10714285714285714,0.0,0.017857142857142856,0.0,0.0,0.0,0.017857142857142856,0.0,0.4107142857142857,0.0,0.10714285714285714,0.0,0.0,0.0,0.0
50001,27,0,23,8,0,0,0,0,0,2,0,11,0,4,0,0,0,1,0.0,0.46938775510204084,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.22448979591836735,0.0,0.08163265306122448,0.0,0.0,0.0,0.02040816326530612
50002,28,0,190,50,0,0,0,0,1,3,0,42,1,9,1,2,1,4,0.0,0.625,0.16447368421052633,0.0,0.0,0.0,0.0,0.003289473684210526,0.009868421052631578,0.0,0.13815789473684212,0.003289473684210526,0.029605263157894735,0.003289473684210526,0.006578947368421052,0.003289473684210526,0.013157894736842105
50003,29,1,33,15,0,1,0,0,0,0,0,16,0,7,0,1,0,0,0.013513513513513514,0.44594594594594594,0.20270270270270271,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0945945945945946,0.0,0.013513513513513514,0.0,0.0
50004,30,0,62,18,1,3,0,1,0,3,1,19,0,7,0,1,1,4,0.0,0.512396694214876,0.1487603305785124,0.008264462809917356,0.024793388429752067,0.0,0.008264462809917356,0.0,0.024793388429752067,0.008264462809917356,0.15702479338842976,0.0,0.05785123966942149,0.0,0.008264462809917356,0.008264462809917356,0.03305785123966942
50005,31,2,64,22,1,0,0,0,2,3,0,34,0,14,0,0,0,1,0.013986013986013986,0.44755244755244755,0.15384615384615385,0.006993006993006993,0.0,0.0,0.0,0.013986013986013986,0.02097902097902098,0.0,0.23776223776223776,0.0,0.0979020979020979,0.0,0.0,0.0,0.006993006993006993
50006,32,0,18,3,0,1,0,0,1,2,1,7,1,2,0,0,0,2,0.0,0.47368421052631576,0.07894736842105263,0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.18421052631578946,0.02631578947368421,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
50007,33,0,24,3,0,0,0,0,0,5,0,7,0,1,0,0,0,1,0.0,0.5853658536585366,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.0,0.17073170731707318,0.0,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025
50008,34,0,14,4,0,0,1,0,0,0,0,5,0,1,0,0,0,2,0.0,0.5185185185185185,0.14814814814814814,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.037037037037037035,0.0,0.0,0.0,0.07407407407407407
50009,35,0,23,3,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0.0,0.696969696969697,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.0,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061
50010,36,1,56,20,0,0,0,1,0,1,0,25,0,7,0,1,1,4,0.008547008547008548,0.47863247863247865,0.17094017094017094,0.0,0.0,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.21367521367521367,0.0,0.05982905982905983,0.0,0.008547008547008548,0.008547008547008548,0.03418803418803419
50010,37,0,11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.7333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
50011,38,0,22,10,0,0,0,0,0,0,0,17,0,1,0,0,0,3,0.0,0.41509433962264153,0.18867924528301888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32075471698113206,0.0,0.018867924528301886,0.0,0.0,0.0,0.05660377358490566
50012,39,0,14,7,0,1,1,0,0,1,0,14,0,2,1,0,0,0,0.0,0.34146341463414637,0.17073170731707318,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.024390243902439025,0.0,0.34146341463414637,0.0,0.04878048780487805,0.024390243902439025,0.0,0.0,0.0
50013,40,0,22,10,0,0,0,0,0,5,0,14,0,7,0,0,0,3,0.0,0.36065573770491804,0.16393442622950818,0.0,0.0,0.0,0.0,0.0,0.08196721311475409,0.0,0.22950819672131148,0.0,0.11475409836065574,0.0,0.0,0.0,0.04918032786885246
50014,41,0,78,19,0,0,0,1,0,3,0,22,1,18,0,1,1,3,0.0,0.5306122448979592,0.1292517006802721,0.0,0.0,0.0,0.006802721088435374,0.0,0.02040816326530612,0.0,0.14965986394557823,0.006802721088435374,0.12244897959183673,0.0,0.006802721088435374,0.006802721088435374,0.02040816326530612
50015,42,0,12,6,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0.0,0.5217391304347826,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.08695652173913043,0.0,0.0,0.0,0.0
50016,43,0,79,19,0,4,0,1,0,1,0,45,3,6,1,1,2,0,0.0,0.4876543209876543,0.11728395061728394,0.0,0.024691358024691357,0.0,0.006172839506172839,0.0,0.006172839506172839,0.0,0.2777777777777778,0.018518518518518517,0.037037037037037035,0.006172839506172839,0.006172839506172839,0.012345679012345678,0.0
50017,44,0,36,7,0,0,0,0,0,0,0,5,1,6,0,0,0,2,0.0,0.631578947368421,0.12280701754385964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.017543859649122806,0.10526315789473684,0.0,0.0,0.0,0.03508771929824561
50018,45,0,34,6,0,0,1,2,0,3,0,9,0,3,0,1,0,3,0.0,0.5483870967741935,0.0967741935483871,0.0,0.0,0.016129032258064516,0.03225806451612903,0.0,0.04838709677419355,0.0,0.14516129032258066,0.0,0.04838709677419355,0.0,0.016129032258064516,0.0,0.04838709677419355
50019,46,1,66,22,0,0,0,0,2,6,1,25,2,12,0,0,0,1,0.007246376811594203,0.4782608695652174,0.15942028985507245,0.0,0.0,0.0,0.0,0.014492753623188406,0.043478260869565216,0.007246376811594203,0.18115942028985507,0.014492753623188406,0.08695652173913043,0.0,0.0,0.0,0.007246376811594203
50020,47,2,224,68,0,3,1,2,1,4,2,69,0,19,1,2,0,9,0.004914004914004914,0.5503685503685504,0.16707616707616707,0.0,0.007371007371007371,0.002457002457002457,0.004914004914004914,0.002457002457002457,0.009828009828009828,0.004914004914004914,0.16953316953316952,0.0,0.04668304668304668,0.002457002457002457,0.004914004914004914,0.0,0.022113022113022112
50021,48,0,21,6,0,0,0,0,0,2,0,13,0,2,0,0,0,2,0.0,0.45652173913043476,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.2826086956521739,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216
50022,49,1,34,19,0,0,0,0,1,2,0,22,2,11,0,1,1,1,0.010526315789473684,0.35789473684210527,0.2,0.0,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.0,0.23157894736842105,0.021052631578947368,0.11578947368421053,0.0,0.010526315789473684,0.010526315789473684,0.010526315789473684
