CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President
"0050010B",37,0,11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"0050011",38,0,22,10,0,0,0,0,0,0,0,17,0,1,0,0,0,3
"0050012",39,0,14,7,0,1,1,0,0,1,0,14,0,2,1,0,0,0
"0050013",40,0,22,10,0,0,0,0,0,5,0,14,0,7,0,0,0,3
"0050014",41,0,78,19,0,0,0,1,0,3,0,22,1,18,0,1,1,3
"0050015",42,0,12,6,0,0,0,0,0,0,0,3,0,2,0,0,0,0
"0050016",43,0,79,19,0,4,0,1,0,1,0,45,3,6,1,1,2,0
"0050017",44,0,36,7,0,0,0,0,0,0,0,5,1,6,0,0,0,2
"0050018",45,0,34,6,0,0,1,2,0,3,0,9,0,3,0,1,0,3
"0050019",46,1,66,22,0,0,0,0,2,6,1,25,2,12,0,0,0,1
"0050020",47,2,224,68,0,3,1,2,1,4,2,69,0,19,1,2,0,9
"0050021",48,0,21,6,0,0,0,0,0,2,0,13,0,2,0,0,0,2
"0050022",49,1,34,19,0,0,0,0,1,2,0,22,2,11,0,1,1,1
"0050023",50,0,5,2,0,0,0,0,1,1,0,4,0,2,0,1,0,1
"0050024",51,2,49,6,0,0,0,0,1,5,0,32,0,9,0,0,1,1
"0050025",52,0,46,8,0,0,2,0,0,1,0,20,1,3,0,1,0,0
"0050026",53,0,38,5,0,0,0,0,1,1,0,13,1,1,0,0,0,3
"0050027",54,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"0050028",55,0,28,8,0,1,0,0,0,2,0,7,0,2,0,0,0,3
"0050029",56,0,28,10,0,0,0,0,0,0,1,18,0,7,0,1,0,0
"0050030",57,0,12,2,0,0,0,0,0,2,0,4,0,2,0,0,0,0
"0050031",58,0,4,3,0,0,0,0,0,1,0,3,1,0,0,0,0,1
"0050032",59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0050033",60,0,18,3,0,0,1,0,0,0,0,14,1,2,0,0,0,1
"0050034",61,0,89,26,0,0,1,0,1,8,1,30,0,11,0,1,1,13
"0050035",62,0,68,21,0,0,1,0,1,0,0,23,0,14,0,0,0,2
"0050037",63,0,12,2,0,0,0,0,0,1,0,6,0,1,0,0,0,3
"0050038",64,0,5,3,0,0,1,0,0,0,0,4,0,4,0,0,0,0
"0050039",65,0,21,1,0,1,0,0,0,1,0,9,0,2,0,0,0,3
"0050040",66,0,34,11,0,1,1,0,0,2,0,17,1,5,0,0,0,2
"005011B",67,0,29,2,1,1,0,0,0,0,1,11,0,4,0,0,0,0
"005017B",68,0,3,6,0,0,0,0,0,0,0,2,0,1,1,0,0,0
"0070001",69,0,54,18,0,0,0,0,0,5,0,37,0,22,0,1,0,5
"0070002",70,0,82,24,0,0,3,0,1,6,1,48,0,18,0,0,0,14
"0070003",71,0,155,55,0,0,3,0,0,23,1,57,0,32,0,1,3,21
"0070004",72,0,143,54,0,0,0,0,3,15,1,56,2,37,1,0,1,17
"007001A",73,0,27,14,0,0,1,0,0,3,0,15,0,11,0,0,0,4
"007004A",74,0,43,11,0,1,0,0,1,3,0,9,1,8,0,0,1,6
"0090001",75,0,11,5,0,0,1,0,0,1,0,1,0,1,0,0,0,1
"0090002",76,0,13,3,0,0,0,0,0,0,0,5,1,2,0,0,0,1
"0090003",77,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0
"0090004",78,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
"0090005",79,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"0090006",80,0,10,8,0,0,0,0,1,0,0,5,0,2,0,0,0,1
"0090007",81,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"0090008",82,0,5,3,1,0,0,0,0,1,0,3,0,1,0,0,0,2
"0090009",83,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0090010",84,0,26,4,0,0,0,0,0,2,0,5,0,6,0,0,0,1
"0090011",85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0090012",86,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0090013",87,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"0110101",88,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0110201",89,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"0110202",90,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"0110301",91,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"0110303",92,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"0110401",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0110402",94,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"0110404",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0130001",96,0,25,9,0,3,0,0,0,1,0,12,3,3,0,0,0,0
"0130003",97,0,45,23,0,3,2,1,1,2,0,36,2,6,1,1,1,7
"0130004",98,1,18,14,0,1,1,0,0,1,0,23,1,11,0,0,2,3
"0130005",99,0,37,30,0,3,0,0,0,3,0,25,0,18,0,0,0,2
"0130006",100,1,7,5,0,2,0,0,0,2,0,7,0,4,0,0,0,2
"0130007",101,1,37,21,0,4,0,0,1,3,1,40,2,13,0,0,0,1
"0130008",102,0,8,17,0,4,2,0,0,0,0,20,4,3,0,0,0,2
"0130009",103,1,56,26,0,2,3,0,1,1,0,46,4,15,0,1,1,4
"0130010",104,0,16,10,0,0,0,0,0,0,0,16,0,4,0,0,0,0
"0130011",105,0,53,32,0,0,1,0,3,5,0,61,0,9,0,0,1,5
"0130012",106,0,36,16,0,2,0,0,0,3,0,32,3,7,0,0,0,4
"0130013",107,1,66,61,0,15,0,0,2,1,0,71,4,19,0,1,0,7
"0130014",108,0,6,8,0,5,1,0,0,0,0,6,1,4,0,0,0,1
"0130015",109,2,89,45,0,15,2,0,0,4,0,73,5,12,0,1,3,6
"0130017",110,1,94,94,1,28,8,0,1,2,1,107,4,25,2,1,1,8
"0130018",111,4,52,70,1,39,3,3,1,3,1,55,9,15,1,3,2,3
"0130019",112,1,12,12,0,5,0,0,0,2,0,14,3,3,0,0,0,0
"0130020",113,1,106,62,0,8,1,2,0,5,0,66,3,27,1,0,0,15
