CNTYVTD,VTDKEY,GrimesD_20P_U.S. Rep 31,HankeD_20P_U.S. Rep 31,ImamD_20P_U.S. Rep 31,JanjigianD_20P_U.S. Rep 31,MannD_20P_U.S. Rep 31,YoungD_20P_U.S. Rep 31
4910433,9607,60,37,169,23,246,106
4910434,9608,15,8,24,3,21,7
4910436,9609,13,7,40,2,30,15
4910437,9610,103,45,259,26,225,115
4910456,9611,28,20,53,6,55,30
4910468,9612,17,10,40,5,61,17
4910470,9613,23,12,77,5,82,22
4910471,9614,1,0,10,0,9,0
4910472,9615,7,5,19,2,20,7
4910473,9616,15,9,40,5,35,13
4910482,9617,49,30,135,13,206,60
4910484,9618,67,22,145,13,153,66
4910485,9619,38,11,87,5,94,41
4910486,9620,14,11,59,7,57,16
4910487,9621,1,1,8,0,6,2
4910488,9622,53,15,167,12,150,72
4910489,9623,66,31,143,9,174,96
4910490,9624,80,28,176,10,180,111
4910491,9625,76,24,191,21,175,79
