CNTYVTD,VTDKEY,ButcherD_24P_U.S. Rep 32,ChaudhryD_24P_U.S. Rep 32,CornwallisD_24P_U.S. Rep 32,FelderD_24P_U.S. Rep 32,JohnsonD_24P_U.S. Rep 32,ManningD_24P_U.S. Rep 32,McDowellD_24P_U.S. Rep 32,MooreD_24P_U.S. Rep 32,PanayiotouD_24P_U.S. Rep 32,WilliamsD_24P_U.S. Rep 32
1131707,2177,0,0,0,1,4,1,0,0,0,4
1131730,2200,0,0,0,0,0,0,0,0,0,0
1131731,2201,0,0,0,0,0,0,0,0,0,0
1131748,2218,0,10,9,4,62,2,6,16,1,44
1131749,2219,13,12,13,8,115,10,12,26,3,62
1131750,2220,8,22,6,3,119,17,10,23,2,41
1131751,2221,16,15,13,8,302,13,29,48,5,74
1131752,2222,10,15,14,3,123,6,17,23,5,69
1132017,2237,5,5,1,2,42,9,9,5,1,17
1132020,2240,5,8,6,9,270,7,15,11,1,68
1132031,2250,17,9,8,5,156,15,24,14,5,41
1132032,2251,9,8,4,4,81,8,15,9,2,14
1132033,2252,18,4,4,0,119,8,7,3,2,32
1132035,2253,12,6,0,2,79,8,10,8,2,23
1132038,2255,7,8,2,4,244,8,9,3,0,67
1132039,2256,14,13,3,4,262,7,17,6,1,58
1132040,2257,6,2,2,0,157,5,5,5,2,47
1132041,2258,9,10,12,1,187,9,23,9,5,81
1132042,2259,6,9,6,3,298,0,12,1,3,91
1132043,2260,1,6,7,4,194,4,13,8,0,60
1132044,2261,3,0,4,4,83,2,11,2,1,21
1132045,2262,4,6,0,6,140,6,9,8,1,72
1132048,2265,6,12,10,5,167,11,26,11,10,37
1132053,2270,13,6,4,2,70,8,1,19,3,35
1132054,2271,10,4,8,3,71,13,14,7,6,31
1132055,2272,3,1,1,1,46,8,7,3,4,10
1132079,2279,6,3,4,6,53,4,5,11,4,19
1132081,2281,2,1,5,5,20,10,5,6,2,17
1132082,2282,6,6,9,1,169,13,12,8,1,39
1132083,2283,5,3,2,1,64,4,7,4,1,20
1132084,2284,1,2,1,0,14,1,2,1,0,5
1132085,2285,2,1,0,1,11,2,1,3,1,3
1132086,2286,10,3,7,2,198,8,13,7,1,51
1132087,2287,8,5,3,2,267,15,22,10,6,83
1132108,2306,0,3,2,1,26,0,0,4,0,11
1132118,2316,3,3,3,10,25,2,8,6,1,24
1132119,2317,0,2,0,1,2,0,0,1,0,6
1132120,2318,6,7,7,0,96,18,9,22,0,45
1132121,2319,3,2,5,1,13,5,3,10,1,11
1132122,2320,1,2,8,6,64,9,7,13,3,38
1132123,2321,3,11,3,3,40,6,5,14,0,23
1132124,2322,7,11,3,5,35,20,8,6,3,28
1132125,2323,6,7,2,29,55,63,6,35,5,84
1132126,2324,4,3,0,1,48,8,4,12,1,5
1132127,2325,10,23,7,6,115,31,20,36,4,64
1132128,2326,9,5,5,10,222,67,20,25,1,87
1132129,2327,1,2,0,1,12,3,2,1,2,4
1132130,2328,4,5,4,3,25,4,8,12,5,16
1132131,2329,5,4,1,6,44,2,6,8,2,15
1132132,2330,3,4,0,0,26,2,4,1,3,9
1132133,2331,0,0,0,0,0,0,0,0,0,1
1132134,2332,7,3,4,1,110,7,8,10,4,21
1132137,2333,2,5,0,1,27,8,4,4,2,9
1132138,2334,2,1,2,3,11,4,3,1,1,8
1132139,2335,3,2,3,1,14,3,2,1,2,4
1132140,2336,1,1,1,0,22,6,2,3,0,5
1132141,2337,0,4,4,0,24,2,10,2,1,8
1132142,2338,3,1,3,2,30,3,6,2,0,14
1132143,2339,2,2,3,2,8,0,0,4,1,5
1132144,2340,5,0,3,4,105,4,5,3,0,17
1132145,2341,9,4,3,0,85,6,10,10,1,21
1132146,2342,4,3,5,3,83,5,5,14,5,27
1132147,2343,8,2,2,0,194,4,6,2,2,54
1132148,2344,4,3,1,1,37,6,4,2,0,11
1132149,2345,4,0,1,6,123,9,13,6,2,36
1132150,2346,5,4,2,3,60,2,7,5,2,25
1132151,2347,0,0,0,0,17,0,2,0,0,3
1132152,2348,7,6,3,4,60,1,6,6,3,18
1132153,2349,5,7,2,4,77,3,6,3,3,23
1132154,2350,1,0,0,0,3,1,0,0,0,0
1132155,2351,8,4,6,0,271,8,13,6,0,57
1132305,2367,6,11,2,0,92,13,22,11,2,28
1132402,2380,5,15,6,3,152,3,29,7,1,37
1132403,2381,0,0,0,0,0,0,0,0,0,0
1132404,2382,5,1,4,5,74,7,19,5,2,16
1132406,2384,12,8,7,1,166,8,33,9,4,30
1132410,2388,2,4,5,3,68,3,11,7,1,17
1132417,2391,0,0,4,1,18,0,3,0,0,4
1132501,2393,3,4,2,0,99,0,5,4,3,34
1132502,2394,5,8,4,0,91,3,4,0,1,31
1132505,2397,8,4,7,3,112,4,11,6,3,33
1132508,2400,11,13,9,2,113,15,13,25,5,43
1132509,2401,14,12,8,2,206,6,12,12,3,72
1132510,2402,12,12,9,1,104,3,12,19,1,28
1132511,2403,7,6,8,4,108,9,10,9,4,50
1132512,2404,2,8,2,3,86,7,9,11,0,38
1132513,2405,5,11,6,6,125,13,7,22,3,62
1132514,2406,6,19,9,5,193,7,11,25,1,56
1132517,2408,6,71,10,5,69,18,13,132,6,26
1132518,2409,4,20,11,1,135,19,10,29,2,44
1132519,2410,5,13,8,3,115,6,12,14,6,45
1132520,2411,8,51,14,13,152,8,13,96,8,38
1132521,2412,15,5,12,2,164,3,19,8,3,37
