CNTYVTD,VTDKEY,AllredD_18P_U.S. Rep 32,MaternowskiD_18P_U.S. Rep 32,ShippD_18P_U.S. Rep 32,MarshallD_18P_U.S. Rep 32,SalernoD_18P_U.S. Rep 32,RodriguezD_18P_U.S. Rep 32,MeierD_18P_U.S. Rep 32,AllredD_18P_U.S. Rep 32_Percentage,MaternowskiD_18P_U.S. Rep 32_Percentage,ShippD_18P_U.S. Rep 32_Percentage,MarshallD_18P_U.S. Rep 32_Percentage,SalernoD_18P_U.S. Rep 32_Percentage,RodriguezD_18P_U.S. Rep 32_Percentage,MeierD_18P_U.S. Rep 32_Percentage
1132119,2317,11,2,10,2,5,2,5,0.2972972972972973,0.05405405405405406,0.2702702702702703,0.05405405405405406,0.13513513513513514,0.05405405405405406,0.13513513513513514
1132120,2318,77,4,31,12,45,20,44,0.33047210300429186,0.017167381974248927,0.13304721030042918,0.05150214592274678,0.19313304721030042,0.08583690987124463,0.1888412017167382
1132121,2319,10,2,5,6,6,9,9,0.2127659574468085,0.0425531914893617,0.10638297872340426,0.1276595744680851,0.1276595744680851,0.19148936170212766,0.19148936170212766
1132122,2320,61,6,31,4,29,15,22,0.3630952380952381,0.03571428571428571,0.18452380952380953,0.023809523809523808,0.17261904761904762,0.08928571428571429,0.13095238095238096
1132123,2321,39,2,24,10,24,13,18,0.3,0.015384615384615385,0.18461538461538463,0.07692307692307693,0.18461538461538463,0.1,0.13846153846153847
1132125,2323,167,9,59,27,141,19,34,0.36622807017543857,0.019736842105263157,0.12938596491228072,0.05921052631578947,0.3092105263157895,0.041666666666666664,0.07456140350877193
1132126,2324,40,4,6,2,25,5,18,0.4,0.04,0.06,0.02,0.25,0.05,0.18
1132127,2325,101,12,41,20,85,30,67,0.28370786516853935,0.033707865168539325,0.1151685393258427,0.056179775280898875,0.23876404494382023,0.08426966292134831,0.18820224719101122
1132128,2326,145,3,75,10,84,24,78,0.3460620525059666,0.007159904534606206,0.17899761336515513,0.02386634844868735,0.20047732696897375,0.057279236276849645,0.18615751789976134
1132129,2327,9,2,6,5,11,9,0,0.21428571428571427,0.047619047619047616,0.14285714285714285,0.11904761904761904,0.2619047619047619,0.21428571428571427,0.0
1132130,2328,27,3,17,6,17,12,11,0.2903225806451613,0.03225806451612903,0.1827956989247312,0.06451612903225806,0.1827956989247312,0.12903225806451613,0.11827956989247312
1132131,2329,38,5,18,2,34,13,18,0.296875,0.0390625,0.140625,0.015625,0.265625,0.1015625,0.140625
1132132,2330,22,1,17,2,16,4,5,0.3283582089552239,0.014925373134328358,0.2537313432835821,0.029850746268656716,0.23880597014925373,0.05970149253731343,0.07462686567164178
1132133,2331,13,1,5,1,5,1,4,0.43333333333333335,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.13333333333333333
1132134,2332,14,3,4,3,8,7,11,0.28,0.06,0.08,0.06,0.16,0.14,0.22
