CNTYVTD,VTDKEY,AllredD_18P_U.S. Rep 32,MaternowskiD_18P_U.S. Rep 32,ShippD_18P_U.S. Rep 32,MarshallD_18P_U.S. Rep 32,SalernoD_18P_U.S. Rep 32,RodriguezD_18P_U.S. Rep 32,MeierD_18P_U.S. Rep 32
1132123,2321,39,2,24,10,24,13,18
1132125,2323,167,9,59,27,141,19,34
1132126,2324,40,4,6,2,25,5,18
1132127,2325,101,12,41,20,85,30,67
1132128,2326,145,3,75,10,84,24,78
1132129,2327,9,2,6,5,11,9,0
1132130,2328,27,3,17,6,17,12,11
1132131,2329,38,5,18,2,34,13,18
1132132,2330,22,1,17,2,16,4,5
1132133,2331,13,1,5,1,5,1,4
1132134,2332,14,3,4,3,8,7,11
1132143,2339,8,1,3,2,4,1,0
1132144,2340,62,6,24,3,50,12,25
1132145,2341,72,10,25,5,37,21,20
1132146,2342,58,7,15,6,41,26,18
1132147,2343,154,5,48,4,52,8,46
1132148,2344,28,3,15,3,30,10,20
1132150,2346,0,0,0,0,0,0,0
1132151,2347,10,1,1,0,12,4,8
1132153,2349,70,4,24,2,32,11,28
1132200,2352,52,1,14,1,14,0,22
1132201,2353,65,2,18,0,17,4,24
1132202,2354,58,2,21,0,12,6,32
1132203,2355,62,1,13,0,22,3,16
1132220,2356,48,0,8,0,13,5,18
1132221,2357,118,1,27,2,18,4,34
1132222,2358,85,5,14,1,24,6,46
1132223,2359,78,2,30,0,19,4,14
1132224,2360,71,4,17,1,20,8,32
1132225,2361,43,0,12,1,24,3,20
1132226,2362,112,4,25,4,15,6,13
1132500,2392,62,1,11,1,28,6,13
1132501,2393,66,4,25,3,24,9,23
1132502,2394,86,3,34,4,16,10,21
1132503,2395,134,3,62,1,47,10,38
1132504,2396,50,2,25,6,39,9,11
1132505,2397,77,15,44,4,60,20,34
1132506,2398,98,4,41,1,51,16,19
1132507,2399,95,4,35,2,55,9,28
1132508,2400,81,7,43,7,57,30,26
1132509,2401,113,3,37,3,50,13,47
1132510,2402,65,5,43,8,31,15,18
1132511,2403,74,2,41,5,34,13,26
1132512,2404,46,11,36,5,21,7,18
1132513,2405,111,9,49,9,56,26,39
1132514,2406,97,3,42,8,52,17,50
1132515,2407,30,2,13,0,19,1,8
1132517,2408,64,10,35,14,38,23,32
1132518,2409,65,4,59,11,45,16,52
1132519,2410,126,7,29,3,47,19,26
1132520,2411,102,14,61,11,103,43,39
1132521,2412,117,7,38,6,48,26,26
1132523,2413,66,6,15,4,23,11,15
1133000,2449,88,10,32,6,49,13,47
1133081,2530,63,1,40,3,19,11,37
1133086,2535,91,10,40,6,44,7,59
1133501,2613,0,0,0,0,0,0,0
1133701,2638,0,0,0,0,0,0,0
1133702,2639,0,0,0,0,0,0,0
1133960,2657,81,8,23,15,36,24,25
1133961,2658,63,4,21,6,34,30,13
1133962,2659,103,6,46,20,49,32,27
1133963,2660,53,6,17,11,33,17,16
1133964,2661,69,2,23,10,17,16,17
1133965,2662,72,6,31,18,42,38,27
1133966,2663,94,4,43,20,44,24,30
1133967,2664,27,1,22,4,19,8,13
1133968,2665,72,5,48,8,42,29,36
1133969,2666,67,5,27,15,29,18,18
1133970,2667,75,6,44,13,44,24,26
1133971,2668,40,0,19,10,17,12,15
1133980,2669,47,10,28,12,41,18,31
1133981,2670,13,2,20,4,10,3,8
1133982,2671,55,5,24,9,28,10,20
1133983,2672,33,2,18,4,16,8,13
1133984,2673,19,4,14,4,12,7,10
1134014,2688,97,4,41,3,55,8,43
1134018,2692,77,2,16,3,17,8,14
1134020,2694,18,0,14,1,13,24,17
1134021,2695,131,14,72,16,74,44,51
1134100,2770,2,0,1,0,0,0,0
1134126,2788,115,1,23,3,21,5,22
1134127,2789,19,0,7,0,4,5,9
1134128,2790,70,1,14,2,15,4,15
1134129,2791,52,1,18,2,24,9,30
1134131,2793,93,10,52,13,53,34,40
