CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
10001,1,1785,63,182,0.0298507462686567,0.03529411764705882
10002,2,2632,59,94,0.0666666666666667,0.022416413373860182
10003,3,1207,19,69,0.0952380952380952,0.015741507870753936
10004,4,1563,25,46,0.107142857142857,0.01599488163787588
10005,5,288,3,5,0.0,0.010416666666666666
10006,6,1436,104,127,0.0178571428571429,0.07242339832869081
10007,7,1339,123,265,0.046875,0.09185959671396565
10008,8,360,39,76,0.102564102564103,0.10833333333333334
10009,9,1385,40,71,0.0,0.02888086642599278
10010,10,569,8,43,0.5,0.014059753954305799
10011,11,1285,57,62,0.0,0.0443579766536965
10013,12,1790,58,210,0.0476190476190476,0.03240223463687151
10015,13,920,15,49,0.142857142857143,0.016304347826086956
10016,14,888,32,45,0.0,0.036036036036036036
10017,15,830,33,71,0.0555555555555556,0.03975903614457831
10018,16,2118,40,66,0.0476190476190476,0.018885741265344664
10019,17,2289,64,234,0.0882352941176471,0.027959807776321538
10020,18,1165,40,159,0.116279069767442,0.034334763948497854
10021,19,1848,25,132,0.0740740740740741,0.013528138528138528
10022,20,1041,35,54,0.0,0.03362151777137368
10023,21,1299,22,34,0.0869565217391304,0.016936104695919937
10024,22,865,14,24,0.0,0.016184971098265895
30001,23,2466,26,1032,0.692307692307692,0.010543390105433901
30002,24,2803,20,831,0.3,0.007135212272565109
30003,25,2480,18,1084,0.333333333333333,0.007258064516129033
30004,26,2393,24,1172,0.708333333333333,0.010029251984956121
50001,27,546,23,161,0.0454545454545455,0.04212454212454213
50002,28,2593,168,585,0.0847457627118644,0.064789818742769
50003,29,2043,32,253,0.121212121212121,0.01566324033284386
50004,30,1532,60,228,0.129032258064516,0.0391644908616188
50005,31,1800,67,298,0.078125,0.03722222222222222
50006,32,560,10,30,0.0,0.017857142857142856
50007,33,1386,12,85,0.166666666666667,0.008658008658008658
50008,34,1325,17,52,0.0,0.012830188679245283
50009,35,288,13,14,0.0625,0.04513888888888889
50010,36,1213,68,206,0.0882352941176471,0.05605935696619951
50010,37,167,9,36,0.1,0.05389221556886228
50011,38,2223,34,72,0.0,0.015294646873594242
50012,39,897,23,70,0.0869565217391304,0.02564102564102564
50013,40,719,23,126,0.0,0.031988873435326845
50014,41,1879,79,212,0.0348837209302326,0.04204364023416711
50015,42,722,11,170,0.363636363636364,0.015235457063711912
50016,43,2217,62,872,0.188405797101449,0.02796571944068561
50017,44,1721,42,33,0.0,0.02440441603718768
50018,45,709,21,55,0.0454545454545455,0.029619181946403384
50019,46,1420,67,86,0.072463768115942,0.047183098591549295
50020,47,2691,238,572,0.0329218106995885,0.08844295800817539
50021,48,1092,40,96,0.024390243902439,0.03663003663003663
50022,49,1150,22,50,0.0416666666666667,0.019130434782608695
50023,50,715,18,40,0.166666666666667,0.025174825174825177
50024,51,2701,54,362,0.113207547169811,0.01999259533506109
50025,52,2456,35,281,0.146341463414634,0.014250814332247556
50026,53,1645,39,89,0.1,0.02370820668693009
50027,54,346,2,13,0.0,0.005780346820809248
50028,55,1192,23,155,0.173913043478261,0.01929530201342282
50029,56,1571,24,100,0.0,0.015276893698281349
50030,57,1113,15,28,0.0625,0.013477088948787063
50031,58,483,7,118,0.25,0.014492753623188406
50032,59,112,3,1,0.0,0.026785714285714284
50033,60,1368,20,33,0.05,0.014619883040935672
50034,61,2224,68,139,0.0428571428571429,0.030575539568345324
50035,62,1816,68,128,0.115942028985507,0.037444933920704845
50037,63,543,11,62,0.0,0.020257826887661142
50038,64,429,4,75,0.25,0.009324009324009324
50039,65,530,15,50,0.125,0.02830188679245283
50040,66,829,31,92,0.15625,0.03739445114595899
5011,67,1261,30,52,0.0,0.023790642347343377
5017,68,456,2,6,0.0,0.0043859649122807015
70001,69,2423,82,319,0.0909090909090909,0.03384234420140322
70002,70,3876,123,1148,0.333333333333333,0.03173374613003096
70003,71,4599,193,454,0.133663366336634,0.04196564470537073
70004,72,3990,171,358,0.150837988826816,0.04285714285714286
7001,73,1932,45,411,0.30188679245283,0.023291925465838508
7004,74,1208,45,97,0.196078431372549,0.037251655629139076
90001,75,1401,23,52,0.0454545454545455,0.01641684511063526
90002,76,807,11,23,0.0,0.013630731102850062
90003,77,382,2,24,0.0,0.005235602094240838
90004,78,669,3,48,0.0,0.004484304932735426
90005,79,187,1,5,0.0,0.0053475935828877
90006,80,1134,17,35,0.0588235294117647,0.014991181657848324
90007,81,214,0,8,0.0,0.0
90008,82,351,4,11,0.0,0.011396011396011397
90009,83,171,2,4,0.0,0.011695906432748537
90010,84,844,21,37,0.0,0.024881516587677725
90011,85,19,0,0,0.0,0.0
90012,86,94,3,10,0.666666666666667,0.031914893617021274
90013,87,164,3,4,0.0,0.018292682926829267
110101,88,395,0,15,0.0,0.0
110201,89,228,2,11,0.0,0.008771929824561403
110202,90,82,0,1,0.0,0.0
110301,91,276,3,9,0.0,0.010869565217391304
110303,92,57,0,1,0.0,0.0
110401,93,194,0,9,0.0,0.0
110402,94,186,3,11,0.666666666666667,0.016129032258064516
110404,95,25,0,0,0.0,0.0
130001,96,899,27,336,0.642857142857143,0.030033370411568408
130003,97,1539,58,701,0.616666666666667,0.037686809616634176
130004,98,1093,44,652,0.666666666666667,0.04025617566331199
130005,99,1584,72,1046,0.777777777777778,0.045454545454545456
130006,100,482,23,242,0.565217391304348,0.04771784232365145
130007,101,1900,59,1147,0.655172413793103,0.03105263157894737
130008,102,552,34,260,0.628571428571429,0.06159420289855073
130009,103,2418,83,1461,0.69047619047619,0.03432588916459884
130010,104,629,22,353,0.652173913043478,0.034976152623211444
130011,105,1743,115,888,0.626086956521739,0.06597819850831899
130012,106,1360,89,813,0.719101123595506,0.06544117647058824
130013,107,2613,120,1155,0.655737704918033,0.045924225028702644
130014,108,210,7,60,0.285714285714286,0.03333333333333333
130015,109,2697,111,1652,0.814159292035398,0.041156840934371525
130017,110,2136,176,1670,0.851428571428571,0.08239700374531835
130018,111,1760,74,1084,0.831168831168831,0.042045454545454546
130019,112,536,25,252,0.807692307692308,0.04664179104477612
130020,113,3670,162,1172,0.506024096385542,0.044141689373297
130021,114,970,38,345,0.65,0.03917525773195876
130022,115,741,20,270,0.578947368421053,0.02699055330634278
150101,116,1386,34,146,0.142857142857143,0.024531024531024532
150102,117,1410,46,155,0.0212765957446809,0.032624113475177303
150103,118,1433,31,86,0.0645161290322581,0.021632937892533146
150104,119,841,12,95,0.0,0.014268727705112961
150205,120,2743,61,212,0.0454545454545455,0.022238425082026978
150206,121,1346,35,60,0.0277777777777778,0.02600297176820208
150207,122,731,24,49,0.08,0.03283173734610123
150208,123,643,26,33,0.0,0.04043545878693624
150309,124,625,9,51,0.0,0.0144
150310,125,2828,58,496,0.1,0.02050919377652051
150311,126,1147,32,385,0.0909090909090909,0.02789886660854403
150412,127,655,24,82,0.0,0.0366412213740458
150413,128,1456,23,237,0.208333333333333,0.015796703296703296
150414,129,1486,35,366,0.108108108108108,0.023553162853297442
150415,130,1548,58,337,0.19672131147541,0.037467700258397935
170001,131,968,19,410,0.55,0.01962809917355372
170002,132,1075,18,278,0.555555555555556,0.01674418604651163
170003,133,791,9,461,0.555555555555556,0.011378002528445006
170004,134,508,10,397,1.0,0.01968503937007874
170004,135,103,1,15,1.0,0.009708737864077669
190101,136,1816,45,226,0.0666666666666667,0.02477973568281938
190102,137,2773,77,341,0.113636363636364,0.027767760548142804
190203,138,2358,90,329,0.21505376344086,0.03816793893129771
190204,139,1855,77,283,0.308641975308642,0.04150943396226415
190305,140,2779,62,336,0.166666666666667,0.022310183519251528
190306,141,1469,31,101,0.03125,0.02110279101429544
190407,142,2466,87,254,0.258426966292135,0.03527980535279805
190408,143,268,20,15,0.2,0.07462686567164178
190409,144,944,28,140,0.272727272727273,0.029661016949152543
190410,145,518,19,33,0.105263157894737,0.03667953667953668
211001,146,373,35,33,0.0810810810810811,0.0938337801608579
211002,147,675,65,77,0.119402985074627,0.0962962962962963
211003,148,2474,181,310,0.109289617486339,0.07316087308003234
211004,149,2118,244,339,0.103585657370518,0.11520302171860246
211005,150,1225,67,154,0.123287671232877,0.054693877551020405
211006,151,2617,131,823,0.360902255639098,0.050057317539166986
211007,152,1878,147,197,0.1,0.07827476038338659
211008,153,1332,112,214,0.0603448275862069,0.08408408408408409
211009,154,2158,140,519,0.24113475177305,0.06487488415199258
212010,155,670,44,73,0.0652173913043478,0.06567164179104477
212011,156,1896,137,290,0.151079136690647,0.07225738396624473
212012,157,1512,103,112,0.0865384615384615,0.06812169312169312
