CNTYVTD,VTDKEY,AllredD_22P_U.S. Rep 32,AllredD_22P_U.S. Rep 32_Percentage
1131173,2132,213,1.0
1131174,2133,450,1.0
1131176,2134,0,0.0
1131303,2138,4,1.0
1131307,2141,10,1.0
1131309,2143,14,1.0
1131313,2147,35,1.0
1131314,2148,125,1.0
1131328,2156,0,0.0
1131329,2157,0,0.0
1131401,2158,11,1.0
1131402,2159,151,1.0
1131403,2160,0,0.0
1131404,2161,72,1.0
1131405,2162,15,1.0
1131406,2163,55,1.0
1131407,2164,0,0.0
1131408,2165,0,0.0
1131409,2166,37,1.0
1131410,2167,134,1.0
1131411,2168,212,1.0
1131412,2169,19,1.0
1131703,2173,163,1.0
1131704,2174,87,1.0
1131705,2175,131,1.0
1131706,2176,109,1.0
1131707,2177,14,1.0
1131730,2200,0,0.0
1131731,2201,0,0.0
1131748,2218,137,1.0
1131749,2219,226,1.0
1131750,2220,226,1.0
1131751,2221,403,1.0
1131752,2222,257,1.0
1132017,2237,110,1.0
1132020,2240,328,1.0
1132031,2250,290,1.0
1132032,2251,163,1.0
1132033,2252,195,1.0
1132035,2253,158,1.0
1132038,2255,392,1.0
1132039,2256,340,1.0
1132040,2257,207,1.0
1132041,2258,327,1.0
1132042,2259,325,1.0
1132043,2260,212,1.0
1132044,2261,112,1.0
1132045,2262,238,1.0
1132048,2265,284,1.0
1132053,2270,160,1.0
1132054,2271,162,1.0
1132055,2272,90,1.0
1132079,2279,121,1.0
1132081,2281,57,1.0
1132082,2282,316,1.0
1132083,2283,148,1.0
1132084,2284,35,1.0
1132085,2285,26,1.0
1132086,2286,363,1.0
1132087,2287,387,1.0
1132108,2306,44,1.0
1132118,2316,83,1.0
1132119,2317,14,1.0
1132120,2318,180,1.0
1132121,2319,53,1.0
1132122,2320,126,1.0
1132123,2321,98,1.0
1132124,2322,127,1.0
1132125,2323,279,1.0
1132126,2324,78,1.0
1132127,2325,301,1.0
1132128,2326,315,1.0
1132129,2327,32,1.0
1132130,2328,64,1.0
1132131,2329,103,1.0
1132132,2330,53,1.0
1132133,2331,7,1.0
1132134,2332,110,1.0
1132137,2333,68,1.0
1132138,2334,51,1.0
1132139,2335,39,1.0
1132140,2336,42,1.0
1132141,2337,58,1.0
1132142,2338,82,1.0
1132143,2339,24,1.0
1132144,2340,157,1.0
1132145,2341,178,1.0
1132146,2342,159,1.0
1132147,2343,268,1.0
1132148,2344,86,1.0
1132149,2345,242,1.0
1132150,2346,86,1.0
1132151,2347,22,1.0
1132152,2348,119,1.0
1132153,2349,124,1.0
1132154,2350,4,1.0
1132155,2351,335,1.0
1132305,2367,118,1.0
1132402,2380,210,1.0
1132403,2381,0,0.0
1132404,2382,115,1.0
1132406,2384,250,1.0
1132410,2388,104,1.0
1132417,2391,11,1.0
1132501,2393,125,1.0
1132502,2394,138,1.0
1132505,2397,173,1.0
1132508,2400,239,1.0
1132509,2401,276,1.0
1132510,2402,168,1.0
1132511,2403,184,1.0
1132512,2404,119,1.0
1132513,2405,223,1.0
1132514,2406,247,1.0
1132517,2408,188,1.0
1132518,2409,208,1.0
1132519,2410,218,1.0
1132520,2411,293,1.0
1132521,2412,236,1.0
1132523,2413,90,1.0
1132901,2440,91,1.0
1132902,2441,120,1.0
1132903,2442,178,1.0
1132913,2447,0,0.0
113291,2448,0,0.0
1133116,2570,1,1.0
1133308,2596,116,1.0
1133314,2602,332,1.0
1133327,2610,2,1.0
1133328,2611,3,1.0
1212100,3038,225,1.0
1212101,3039,204,1.0
1212102,3040,290,1.0
1212103,3041,129,1.0
1212109,3047,224,1.0
