CNTYVTD,VTDKEY,CrockettD_22P_U.S. Rep 30,DixonD_22P_U.S. Rep 30,HamiltonD_22P_U.S. Rep 30,Jones HillD_22P_U.S. Rep 30,LankfordD_22P_U.S. Rep 30,CarawayD_22P_U.S. Rep 30,MasonD_22P_U.S. Rep 30,MulughetaD_22P_U.S. Rep 30,WilliamsD_22P_U.S. Rep 30,CrockettD_22P_U.S. Rep 30_Percentage,DixonD_22P_U.S. Rep 30_Percentage,HamiltonD_22P_U.S. Rep 30_Percentage,Jones HillD_22P_U.S. Rep 30_Percentage,LankfordD_22P_U.S. Rep 30_Percentage,CarawayD_22P_U.S. Rep 30_Percentage,MasonD_22P_U.S. Rep 30_Percentage,MulughetaD_22P_U.S. Rep 30_Percentage,WilliamsD_22P_U.S. Rep 30_Percentage
1133028,2477,64,3,19,4,9,10,4,1,9,0.5203252032520326,0.024390243902439025,0.15447154471544716,0.032520325203252036,0.07317073170731707,0.08130081300813008,0.032520325203252036,0.008130081300813009,0.07317073170731707
1133029,2478,48,1,15,1,2,6,1,2,2,0.6153846153846154,0.01282051282051282,0.19230769230769232,0.01282051282051282,0.02564102564102564,0.07692307692307693,0.01282051282051282,0.02564102564102564,0.02564102564102564
1133030,2479,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1133031,2480,22,0,5,2,3,3,1,2,2,0.55,0.0,0.125,0.05,0.075,0.075,0.025,0.05,0.05
1133033,2482,23,0,1,2,4,5,1,2,0,0.6052631578947368,0.0,0.02631578947368421,0.05263157894736842,0.10526315789473684,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.0
1133034,2483,121,1,20,6,15,21,7,3,6,0.605,0.005,0.1,0.03,0.075,0.105,0.035,0.015,0.03
1133035,2484,83,1,26,2,12,25,3,6,6,0.5060975609756098,0.006097560975609756,0.15853658536585366,0.012195121951219513,0.07317073170731707,0.1524390243902439,0.018292682926829267,0.036585365853658534,0.036585365853658534
1133036,2485,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133037,2486,34,0,4,1,2,10,1,1,1,0.6296296296296297,0.0,0.07407407407407407,0.018518518518518517,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
1133038,2487,70,0,37,2,9,52,1,9,6,0.3763440860215054,0.0,0.1989247311827957,0.010752688172043012,0.04838709677419355,0.27956989247311825,0.005376344086021506,0.04838709677419355,0.03225806451612903
1133039,2488,159,4,59,16,27,59,6,13,16,0.4428969359331476,0.011142061281337047,0.16434540389972144,0.04456824512534819,0.07520891364902507,0.16434540389972144,0.016713091922005572,0.036211699164345405,0.04456824512534819
1133040,2489,63,1,18,7,3,16,4,2,3,0.5384615384615384,0.008547008547008548,0.15384615384615385,0.05982905982905983,0.02564102564102564,0.13675213675213677,0.03418803418803419,0.017094017094017096,0.02564102564102564
1133042,2491,78,1,16,6,12,25,3,5,8,0.5064935064935064,0.006493506493506494,0.1038961038961039,0.03896103896103896,0.07792207792207792,0.16233766233766234,0.01948051948051948,0.032467532467532464,0.05194805194805195
1133043,2492,101,1,33,3,12,40,5,2,14,0.4786729857819905,0.004739336492890996,0.15639810426540285,0.014218009478672985,0.05687203791469194,0.1895734597156398,0.023696682464454975,0.009478672985781991,0.06635071090047394
1133044,2493,132,1,42,8,33,43,9,6,8,0.46808510638297873,0.0035460992907801418,0.14893617021276595,0.028368794326241134,0.11702127659574468,0.1524822695035461,0.031914893617021274,0.02127659574468085,0.028368794326241134
1133045,2494,54,2,9,2,6,6,1,1,1,0.6585365853658537,0.024390243902439025,0.10975609756097561,0.024390243902439025,0.07317073170731707,0.07317073170731707,0.012195121951219513,0.012195121951219513,0.012195121951219513
1133046,2495,185,5,79,13,19,57,19,20,11,0.4534313725490196,0.012254901960784314,0.19362745098039216,0.031862745098039214,0.04656862745098039,0.13970588235294118,0.04656862745098039,0.049019607843137254,0.02696078431372549
1133047,2496,108,5,30,9,11,20,3,8,8,0.5346534653465347,0.024752475247524754,0.1485148514851485,0.04455445544554455,0.054455445544554455,0.09900990099009901,0.01485148514851485,0.039603960396039604,0.039603960396039604
1133048,2497,145,4,63,13,18,54,5,13,12,0.4434250764525994,0.012232415902140673,0.1926605504587156,0.039755351681957186,0.05504587155963303,0.1651376146788991,0.01529051987767584,0.039755351681957186,0.03669724770642202
1133049,2498,130,1,58,13,14,43,14,11,21,0.4262295081967213,0.003278688524590164,0.1901639344262295,0.04262295081967213,0.04590163934426229,0.14098360655737704,0.04590163934426229,0.036065573770491806,0.06885245901639345
1133050,2499,82,2,30,3,11,25,6,5,12,0.4659090909090909,0.011363636363636364,0.17045454545454544,0.017045454545454544,0.0625,0.14204545454545456,0.03409090909090909,0.028409090909090908,0.06818181818181818
1133051,2500,49,0,23,6,4,14,1,2,5,0.47115384615384615,0.0,0.22115384615384615,0.057692307692307696,0.038461538461538464,0.1346153846153846,0.009615384615384616,0.019230769230769232,0.04807692307692308
1133052,2501,117,1,75,9,20,42,3,7,17,0.4020618556701031,0.003436426116838488,0.25773195876288657,0.030927835051546393,0.06872852233676977,0.14432989690721648,0.010309278350515464,0.024054982817869417,0.058419243986254296
1133053,2502,111,4,41,10,18,13,5,11,5,0.5091743119266054,0.01834862385321101,0.18807339449541285,0.045871559633027525,0.08256880733944955,0.05963302752293578,0.022935779816513763,0.05045871559633028,0.022935779816513763
1133054,2503,293,1,129,92,33,72,12,25,39,0.4209770114942529,0.0014367816091954023,0.1853448275862069,0.13218390804597702,0.04741379310344827,0.10344827586206896,0.017241379310344827,0.035919540229885055,0.05603448275862069
1133055,2504,261,3,185,82,18,51,9,30,26,0.3924812030075188,0.004511278195488722,0.2781954887218045,0.12330827067669173,0.02706766917293233,0.07669172932330827,0.013533834586466165,0.045112781954887216,0.039097744360902256
1133056,2505,272,4,167,25,25,73,10,38,27,0.4243369734789392,0.0062402496099844,0.26053042121684866,0.0390015600624025,0.0390015600624025,0.11388455538221529,0.015600624024960999,0.059282371294851796,0.0421216848673947
1133057,2506,206,3,73,51,30,41,9,22,23,0.4497816593886463,0.006550218340611353,0.15938864628820962,0.11135371179039301,0.06550218340611354,0.08951965065502183,0.019650655021834062,0.048034934497816595,0.05021834061135371
1133058,2507,228,1,91,25,24,28,11,20,23,0.5055432372505543,0.0022172949002217295,0.2017738359201774,0.05543237250554324,0.05321507760532151,0.06208425720620843,0.024390243902439025,0.04434589800443459,0.050997782705099776
1133059,2508,122,1,58,17,12,20,3,4,6,0.5020576131687243,0.00411522633744856,0.23868312757201646,0.06995884773662552,0.04938271604938271,0.0823045267489712,0.012345679012345678,0.01646090534979424,0.024691358024691357
1133060,2509,147,2,59,24,14,24,13,5,10,0.49328859060402686,0.006711409395973154,0.19798657718120805,0.08053691275167785,0.04697986577181208,0.08053691275167785,0.0436241610738255,0.016778523489932886,0.03355704697986577
1133061,2510,73,5,21,8,19,27,5,7,12,0.4124293785310734,0.02824858757062147,0.11864406779661017,0.04519774011299435,0.10734463276836158,0.15254237288135594,0.02824858757062147,0.03954802259887006,0.06779661016949153
1133062,2511,121,5,37,10,26,35,8,7,21,0.44814814814814813,0.018518518518518517,0.13703703703703704,0.037037037037037035,0.0962962962962963,0.12962962962962962,0.02962962962962963,0.025925925925925925,0.07777777777777778
1133063,2512,252,4,102,24,30,48,15,21,26,0.4827586206896552,0.007662835249042145,0.19540229885057472,0.04597701149425287,0.05747126436781609,0.09195402298850575,0.028735632183908046,0.040229885057471264,0.04980842911877394
1133064,2513,258,6,123,33,33,52,10,18,35,0.45422535211267606,0.01056338028169014,0.21654929577464788,0.058098591549295774,0.058098591549295774,0.09154929577464789,0.017605633802816902,0.03169014084507042,0.061619718309859156
1133065,2514,178,5,73,13,13,40,3,9,26,0.49444444444444446,0.013888888888888888,0.20277777777777778,0.03611111111111111,0.03611111111111111,0.1111111111111111,0.008333333333333333,0.025,0.07222222222222222
1133066,2515,150,4,58,12,15,26,6,7,28,0.49019607843137253,0.013071895424836602,0.1895424836601307,0.0392156862745098,0.049019607843137254,0.08496732026143791,0.0196078431372549,0.02287581699346405,0.0915032679738562
1133067,2516,103,1,24,2,18,20,3,5,11,0.5508021390374331,0.0053475935828877,0.12834224598930483,0.0106951871657754,0.0962566844919786,0.10695187165775401,0.016042780748663103,0.026737967914438502,0.058823529411764705
1133068,2517,281,5,110,26,42,57,7,24,33,0.48034188034188036,0.008547008547008548,0.18803418803418803,0.044444444444444446,0.07179487179487179,0.09743589743589744,0.011965811965811967,0.041025641025641026,0.05641025641025641
1133069,2518,102,6,54,6,32,32,6,16,10,0.38636363636363635,0.022727272727272728,0.20454545454545456,0.022727272727272728,0.12121212121212122,0.12121212121212122,0.022727272727272728,0.06060606060606061,0.03787878787878788
1133070,2519,217,3,77,14,42,54,7,11,19,0.48873873873873874,0.006756756756756757,0.17342342342342343,0.03153153153153153,0.0945945945945946,0.12162162162162163,0.015765765765765764,0.024774774774774775,0.04279279279279279
1133071,2520,240,3,84,17,35,57,12,12,27,0.4928131416837782,0.006160164271047228,0.17248459958932238,0.03490759753593429,0.07186858316221766,0.11704312114989733,0.024640657084188913,0.024640657084188913,0.055441478439425054
1133072,2521,2,0,0,1,1,0,0,1,2,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857
1133073,2522,14,0,7,1,7,3,1,0,1,0.4117647058823529,0.0,0.20588235294117646,0.029411764705882353,0.20588235294117646,0.08823529411764706,0.029411764705882353,0.0,0.029411764705882353
1133074,2523,12,0,5,1,1,2,3,2,1,0.4444444444444444,0.0,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.037037037037037035
1133075,2524,13,0,6,0,3,4,1,0,3,0.43333333333333335,0.0,0.2,0.0,0.1,0.13333333333333333,0.03333333333333333,0.0,0.1
1133076,2525,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133077,2526,215,8,87,17,38,39,14,47,20,0.44329896907216493,0.016494845360824743,0.17938144329896907,0.03505154639175258,0.07835051546391752,0.08041237113402062,0.0288659793814433,0.09690721649484536,0.041237113402061855
1133078,2527,192,2,55,20,37,31,9,25,16,0.49612403100775193,0.00516795865633075,0.1421188630490956,0.05167958656330749,0.09560723514211886,0.08010335917312661,0.023255813953488372,0.06459948320413436,0.041343669250646
1133079,2528,22,1,5,1,3,3,4,3,0,0.5238095238095238,0.023809523809523808,0.11904761904761904,0.023809523809523808,0.07142857142857142,0.07142857142857142,0.09523809523809523,0.07142857142857142,0.0
1133080,2529,60,3,14,4,5,7,7,5,5,0.5454545454545454,0.02727272727272727,0.12727272727272726,0.03636363636363636,0.045454545454545456,0.06363636363636363,0.06363636363636363,0.045454545454545456,0.045454545454545456
1133081,2530,80,4,34,1,10,1,10,7,2,0.5369127516778524,0.026845637583892617,0.22818791946308725,0.006711409395973154,0.06711409395973154,0.006711409395973154,0.06711409395973154,0.04697986577181208,0.013422818791946308
1133082,2531,151,3,59,12,16,24,13,5,7,0.5206896551724138,0.010344827586206896,0.20344827586206896,0.041379310344827586,0.05517241379310345,0.08275862068965517,0.04482758620689655,0.017241379310344827,0.02413793103448276
1133083,2532,41,0,9,2,12,6,2,2,7,0.5061728395061729,0.0,0.1111111111111111,0.024691358024691357,0.14814814814814814,0.07407407407407407,0.024691358024691357,0.024691358024691357,0.08641975308641975
1133084,2533,58,2,27,3,14,7,13,7,3,0.43283582089552236,0.014925373134328358,0.20149253731343283,0.022388059701492536,0.1044776119402985,0.05223880597014925,0.09701492537313433,0.05223880597014925,0.022388059701492536
1133085,2534,4,0,0,0,0,2,1,0,1,0.5,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.125
1133086,2535,98,3,47,3,13,9,16,10,5,0.4803921568627451,0.014705882352941176,0.23039215686274508,0.014705882352941176,0.06372549019607843,0.04411764705882353,0.0784313725490196,0.049019607843137254,0.024509803921568627
1133087,2536,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133089,2538,0,0,2,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1133090,2539,63,3,16,3,11,3,12,10,2,0.5121951219512195,0.024390243902439025,0.13008130081300814,0.024390243902439025,0.08943089430894309,0.024390243902439025,0.0975609756097561,0.08130081300813008,0.016260162601626018
1133091,2540,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133092,2541,104,4,44,17,10,12,11,7,13,0.46846846846846846,0.018018018018018018,0.1981981981981982,0.07657657657657657,0.04504504504504504,0.05405405405405406,0.04954954954954955,0.03153153153153153,0.05855855855855856
1133093,2542,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133094,2543,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133095,2544,97,5,35,4,22,7,15,10,6,0.48258706467661694,0.024875621890547265,0.17412935323383086,0.01990049751243781,0.10945273631840796,0.03482587064676617,0.07462686567164178,0.04975124378109453,0.029850746268656716
1133096,2545,129,5,39,7,24,7,29,19,9,0.48134328358208955,0.018656716417910446,0.1455223880597015,0.026119402985074626,0.08955223880597014,0.026119402985074626,0.10820895522388059,0.0708955223880597,0.033582089552238806
1133097,2546,13,1,7,1,3,2,0,1,3,0.41935483870967744,0.03225806451612903,0.22580645161290322,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.0,0.03225806451612903,0.0967741935483871
1133098,2547,18,0,9,1,2,2,0,0,3,0.5142857142857142,0.0,0.2571428571428571,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.0,0.0,0.08571428571428572
1133099,2548,23,0,12,1,3,4,1,4,2,0.46,0.0,0.24,0.02,0.06,0.08,0.02,0.08,0.04
113304,2549,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113306,2550,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113304,2551,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113304,2552,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
