CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
2970012,6524,155,53,25,0.103448275862069
2970013,6525,521,219,40,0.0324074074074074
2970014,6526,937,403,227,0.1475
2990101,6527,319,136,23,0.0518518518518519
2990102,6528,668,284,25,0.0172413793103448
2990108,6529,1055,427,32,0.0140515222482436
2990109,6530,3939,1489,132,0.0200400801603206
2990203,6531,2637,839,134,0.0166270783847981
2990204,6532,888,344,25,0.0115606936416185
2990205,6533,776,310,23,0.0159744408945687
2990307,6534,3415,861,282,0.0288350634371396
2990410,6535,4183,1772,253,0.0252242152466368
3010001,6536,42,29,2,0.0606060606060606
3010002,6537,24,17,10,0.41025641025641
3010003,6538,39,26,2,0.0576923076923077
3010004,6539,24,17,0,0.0
3030001,6540,3096,182,1567,0.251396648044693
3030002,6541,2094,238,1090,0.181818181818182
3030003,6542,2508,67,1682,0.686567164179104
3030004,6543,1128,36,862,0.526315789473684
3030005,6544,762,61,537,0.593220338983051
3030006,6545,1422,16,321,0.266666666666667
3030007,6546,2908,565,527,0.0587188612099644
3030008,6547,2216,38,479,0.114285714285714
3030009,6548,2315,497,241,0.0339321357285429
3030010,6549,1254,48,368,0.127659574468085
3030011,6550,222,11,88,0.0
3030012,6551,1827,355,264,0.0856353591160221
3030013,6552,680,81,185,0.051948051948052
3030014,6553,1458,130,390,0.162962962962963
3030015,6554,2538,312,241,0.0507936507936508
3030017,6555,3019,174,1245,0.177142857142857
3030019,6556,1239,39,799,0.216216216216216
3030020,6557,1155,15,164,0.375
3030021,6558,2074,161,754,0.0754716981132075
3030022,6559,2635,377,674,0.0897097625329815
3030023,6560,1320,220,277,0.0607476635514019
3030024,6561,1893,134,671,0.12781954887218
3030025,6562,1091,45,580,0.404761904761905
3030026,6563,2721,109,1772,0.321100917431193
3030027,6564,3126,243,928,0.112033195020747
3030028,6565,1917,369,318,0.053475935828877
3030029,6566,3077,208,1606,0.261682242990654
3030030,6567,2331,309,647,0.100323624595469
3030031,6568,1601,325,303,0.0460122699386503
3030032,6569,2550,350,633,0.0980392156862745
3030033,6570,3789,806,826,0.0888888888888889
3030034,6571,654,118,205,0.0737704918032787
3030035,6572,830,239,117,0.0541666666666667
3030036,6573,2172,388,652,0.0411311053984576
3030037,6574,1251,209,155,0.0375586854460094
3030038,6575,1664,130,888,0.130769230769231
3030039,6576,1801,455,287,0.0497835497835498
3030040,6577,1101,13,408,0.727272727272727
3030041,6578,2485,589,688,0.0986622073578595
3030043,6579,772,161,203,0.105590062111801
3030044,6580,1223,256,315,0.101167315175097
3030045,6581,447,97,154,0.0927835051546392
3030046,6582,3141,697,615,0.0589928057553957
3030047,6583,2488,362,599,0.0803324099722992
3030049,6584,956,16,231,0.111111111111111
3030050,6585,953,29,178,0.115384615384615
3030051,6586,184,15,88,0.133333333333333
3030052,6587,2842,457,601,0.101545253863135
3030053,6588,3037,263,992,0.126436781609195
3030054,6589,3060,915,346,0.0475675675675676
3030056,6590,1024,171,285,0.063953488372093
3030057,6591,3490,348,885,0.0865921787709497
3030058,6592,1379,232,252,0.0480349344978166
3030059,6593,2766,284,772,0.127208480565371
3030060,6594,1200,302,153,0.0326797385620915
3030062,6595,2205,477,399,0.0765957446808511
3030063,6596,195,15,62,0.0
3030065,6597,1184,146,451,0.101351351351351
3030066,6598,2432,741,180,0.0324763193504736
3030067,6599,2198,270,685,0.109489051094891
3030072,6600,2761,352,793,0.129213483146067
3030075,6601,1149,333,145,0.0481927710843374
3030076,6602,2289,347,648,0.144092219020173
3030078,6603,3283,969,380,0.0548223350253807
3030092,6604,522,63,136,0.107692307692308
3030102,6605,527,138,54,0.0428571428571429
3030103,6606,552,107,97,0.0571428571428571
3030104,6607,1030,249,133,0.0483870967741935
3030108,6608,1253,126,352,0.144
3030109,6609,3445,965,364,0.0328879753340185
3030110,6610,4203,1310,289,0.0340651021953066
3030111,6611,2958,537,491,0.0800744878957169
3030112,6612,1711,255,280,0.0884615384615385
3030113,6613,2781,253,775,0.187250996015936
3030114,6614,789,46,428,0.333333333333333
3030118,6615,1676,250,569,0.159836065573771
3030119,6616,2983,315,1074,0.170967741935484
3030120,6617,3715,729,946,0.0807113543091655
3030121,6618,4095,786,653,0.056890012642225
