CNTYVTD,VTDKEY,BlewettR_24P_U.S. Rep 32,DayR_24P_U.S. Rep 32,FeriaR_24P_U.S. Rep 32,KhanR_24P_U.S. Rep 32
1132903,2442,62,38,20,14
1132913,2447,1,0,0,0
113291,2448,0,0,0,0
1133116,2570,0,0,0,0
1133308,2596,37,39,11,5
1133314,2602,76,62,25,8
1133327,2610,0,0,0,0
1133328,2611,1,2,0,0
1212100,3038,71,55,14,10
1212101,3039,33,38,5,5
1212102,3040,110,140,36,13
1212103,3041,81,100,13,10
1212109,3047,96,156,32,22
