CNTYVTD,VTDKEY,CruzR_24P_U.S. Sen,GibsonR_24P_U.S. Sen,LopezR_24P_U.S. Sen
0291009,262,87,13,8
0291010,263,20,1,2
0291011,264,22,2,2
0291012,265,99,7,8
0291013,266,59,4,6
0291014,267,21,2,1
0291015,268,30,0,0
0291016,269,28,4,2
0291017,270,15,1,0
0291018,271,25,1,1
0291019,272,19,4,2
0291020,273,80,5,8
0291021,274,36,0,2
0291022,275,20,0,2
0291023,276,39,2,5
0291024,277,152,7,6
0291025,278,6,1,0
0291026,279,26,0,0
0291027,280,30,1,1
0291028,281,27,0,2
0291029,282,41,4,8
0291030,283,3,0,0
0291031,284,30,1,5
0291032,285,27,0,3
0291033,286,46,5,3
0291034,287,337,38,15
0291035,288,18,3,1
0291036,289,157,13,10
0291037,290,78,5,4
0291038,291,128,8,7
0291039,292,55,3,5
0291040,293,46,2,5
0291041,294,48,1,1
0291042,295,32,5,2
0291043,296,62,2,4
0291044,297,73,3,6
0291045,298,83,5,10
0291046,299,47,5,6
0291047,300,51,3,2
0291048,301,77,6,6
0291049,302,79,12,8
0291050,303,22,3,5
0291051,304,85,3,5
0291052,305,70,7,2
0291053,306,3,0,2
0291054,307,84,17,8
0291055,308,120,20,11
0291056,309,168,16,16
0291057,310,136,13,7
0291058,311,173,10,5
0291059,312,18,2,0
0291060,313,53,5,2
0291061,314,51,6,4
0291062,315,11,1,0
0291063,316,153,11,8
0291064,317,71,4,6
0291065,318,199,9,6
0291066,319,24,1,1
0291067,320,265,15,11
0291068,321,203,16,18
0291069,322,62,3,4
0291070,323,46,3,8
0291071,324,62,9,8
0291072,325,49,7,8
0291073,326,219,17,16
0291074,327,0,0,0
0291075,328,51,2,3
0291076,329,141,14,11
0291077,330,32,2,4
0291078,331,5,1,1
0291079,332,93,9,9
0291080,333,50,7,1
0291081,334,309,21,20
0291082,335,120,7,5
0291083,336,141,17,18
0291084,337,76,8,6
0291085,338,44,2,5
0291086,339,87,6,10
0291087,340,47,4,3
0291088,341,20,0,1
0291089,342,2,0,0
0291090,343,0,0,0
0291091,344,86,4,9
