CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
10001,1,1827,417,204,0.0423529411764706,0.22824302134646962
10002,2,2762,933,110,0.0182795698924731,0.33779869659666906
10003,3,1251,439,84,0.0158013544018059,0.35091926458832934
10004,4,1643,592,61,0.0134907251264755,0.3603164942178941
10005,5,293,133,6,0.0148148148148148,0.4539249146757679
10006,6,1464,200,143,0.0422535211267606,0.1366120218579235
10007,7,1295,72,256,0.123287671232877,0.055598455598455596
10008,8,405,53,74,0.0909090909090909,0.1308641975308642
10009,9,1452,394,85,0.0176767676767677,0.2713498622589532
10010,10,585,154,48,0.0666666666666667,0.26324786324786326
10011,11,1276,407,69,0.0246305418719212,0.31896551724137934
10013,12,1815,419,216,0.0562347188264059,0.23085399449035812
10015,13,920,393,47,0.0459183673469388,0.42717391304347824
10016,14,971,351,56,0.028328611898017,0.36148300720906285
10017,15,851,271,85,0.044280442804428,0.318448883666275
10018,16,2201,609,81,0.0097087378640776,0.2766924125397547
10019,17,2296,467,241,0.0504201680672269,0.203397212543554
10020,18,1169,337,169,0.0385756676557863,0.28828058169375537
10021,19,1945,555,157,0.024866785079929,0.2853470437017995
10022,20,1056,401,60,0.0375,0.3797348484848485
10023,21,1349,483,36,0.0183299389002037,0.35804299481097107
10024,22,908,272,31,0.0223048327137546,0.29955947136563876
30001,23,2549,464,1088,0.165217391304348,0.18203216947822676
30002,24,2920,670,922,0.151197604790419,0.22945205479452055
30003,25,2537,546,1105,0.177655677655678,0.21521482065431613
30004,26,2434,287,1215,0.213559322033898,0.11791290057518489
50001,27,562,86,179,0.0465116279069767,0.15302491103202848
50002,28,2583,93,636,0.133333333333333,0.036004645760743324
50003,29,2122,415,306,0.0383693045563549,0.19557021677662584
50004,30,1587,154,254,0.0064516129032258,0.09703843730308759
50005,31,1840,225,314,0.0497737556561086,0.12228260869565218
50006,32,600,141,37,0.034965034965035,0.235
50007,33,1470,401,94,0.0246913580246914,0.2727891156462585
50008,34,1379,465,51,0.0236051502145923,0.33720087019579403
50009,35,292,81,18,0.0240963855421687,0.2773972602739726
50010,36,1246,146,231,0.0410958904109589,0.11717495987158909
50010,37,174,20,42,0.0,0.11494252873563218
50011,38,2315,681,86,0.0161054172767204,0.2941684665226782
50012,39,944,223,89,0.0225225225225225,0.23622881355932204
50013,40,731,99,144,0.0618556701030928,0.1354309165526676
50014,41,1997,391,234,0.0354430379746835,0.1957936905358037
50015,42,754,182,173,0.104395604395604,0.2413793103448276
50016,43,2239,285,890,0.164335664335664,0.1272889682894149
50017,44,1841,518,38,0.0173076923076923,0.2813688212927757
50018,45,789,165,61,0.0303030303030303,0.20912547528517111
50019,46,1481,380,97,0.0155844155844156,0.2565833896016205
50020,47,2694,68,610,0.0454545454545455,0.025241276911655532
50021,48,1090,194,102,0.0357142857142857,0.1779816513761468
50022,49,1187,344,59,0.023121387283237,0.2898062342038753
50023,50,753,172,49,0.0114942528735632,0.22841965471447542
50024,51,2867,420,415,0.0307328605200946,0.14649459365190093
50025,52,2548,552,315,0.0363636363636364,0.21664050235478807
50026,53,1727,541,105,0.0238532110091743,0.3132599884192241
50027,54,372,115,22,0.043859649122807,0.30913978494623656
50028,55,1285,362,185,0.0661157024793388,0.28171206225680934
50029,56,1590,391,106,0.0179028132992327,0.2459119496855346
50030,57,1171,297,28,0.03,0.25362937660119556
50031,58,478,93,133,0.148936170212766,0.19456066945606695
50032,59,119,43,2,0.0,0.36134453781512604
