CNTYVTD,VTDKEY,AllredD_20G_U.S. Rep 32,CollinsR_20G_U.S. Rep 32,Mowrey PetersonL_20G_U.S. Rep 32,SigmonI_20G_U.S. Rep 32
1133086,2535,1562,1243,60,19
1133501,2613,1,7,0,0
1133701,2638,0,3,0,0
1133702,2639,0,0,0,0
1133960,2657,1175,1322,41,17
1133961,2658,949,917,28,14
1133962,2659,1563,1801,41,29
1133963,2660,866,976,29,13
1133964,2661,772,742,22,17
1133965,2662,1211,1168,41,29
1133966,2663,1309,1214,43,27
1133967,2664,459,516,9,13
1133968,2665,1263,1365,49,23
1133969,2666,805,1419,21,7
1133970,2667,1025,1544,33,11
1133971,2668,946,1013,42,19
1133980,2669,1101,1444,46,21
1133981,2670,412,784,18,12
1133982,2671,1003,1462,43,20
1133983,2672,607,881,26,13
1133984,2673,430,561,18,9
1134014,2688,710,868,10,3
1134018,2692,510,324,13,4
1134020,2694,489,171,14,11
1134021,2695,1394,300,40,15
1134100,2770,13,3,0,1
1134126,2788,574,737,13,6
1134127,2789,144,280,1,0
1134128,2790,460,656,8,2
1134129,2791,517,965,8,2
1134131,2793,1006,217,29,13
