CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
10001,1,1785,436,182,0.035799522673031,0.24425770308123249
10002,2,2632,668,94,0.0134730538922156,0.25379939209726443
10003,3,1207,377,69,0.0080213903743315,0.3123446561723281
10004,4,1563,465,46,0.0134228187919463,0.29750479846449135
10005,5,288,85,5,0.0,0.2951388888888889
10006,6,1436,171,127,0.0350877192982456,0.1190807799442897
10007,7,1339,51,265,0.0980392156862745,0.038088125466766244
10008,8,360,42,76,0.108695652173913,0.11666666666666667
10009,9,1385,327,71,0.0091185410334346,0.23610108303249097
10010,10,569,128,43,0.053030303030303,0.22495606326889278
10011,11,1285,349,62,0.0171428571428571,0.2715953307392996
10013,12,1790,399,210,0.0555555555555556,0.22290502793296088
10015,13,920,349,49,0.0285714285714286,0.3793478260869565
10016,14,888,223,45,0.0044052863436123,0.2511261261261261
10017,15,830,223,71,0.0387931034482759,0.26867469879518074
10018,16,2118,466,66,0.0147991543340381,0.22001888574126535
10019,17,2289,464,234,0.0391304347826087,0.20270860637833116
10020,18,1165,314,159,0.0378548895899054,0.26952789699570817
10021,19,1848,546,132,0.0237226277372263,0.29545454545454547
10022,20,1041,392,54,0.0229007633587786,0.3765609990393852
10023,21,1299,415,34,0.0120192307692308,0.31947652040030794
10024,22,865,288,24,0.0175438596491228,0.3329479768786127
30001,23,2466,477,1032,0.202083333333333,0.19343065693430658
30002,24,2803,768,831,0.1328125,0.2739921512665002
30003,25,2480,533,1084,0.180112570356473,0.21491935483870966
30004,26,2393,352,1172,0.255747126436782,0.14709569577935647
50001,27,546,83,161,0.051948051948052,0.152014652014652
50002,28,2593,106,585,0.111111111111111,0.040879290397223295
50003,29,2043,396,253,0.0327455919395466,0.19383259911894274
50004,30,1532,166,228,0.0239520958083832,0.10835509138381201
50005,31,1800,229,298,0.0577777777777778,0.1272222222222222
50006,32,560,140,30,0.0357142857142857,0.25
50007,33,1386,385,85,0.0104166666666667,0.2777777777777778
50008,34,1325,422,52,0.0210772833723653,0.31849056603773584
50009,35,288,79,14,0.0114942528735632,0.2743055555555556
50010,36,1213,139,206,0.0357142857142857,0.1145919208573784
50010,37,167,19,36,0.0,0.11377245508982035
50011,38,2223,542,72,0.018450184501845,0.24381466486729644
50012,39,897,213,70,0.019047619047619,0.23745819397993312
50013,40,719,98,126,0.08,0.13630041724617525
50014,41,1879,392,212,0.0554156171284635,0.2086216072378925
50015,42,722,136,170,0.0746268656716418,0.1883656509695291
50016,43,2217,211,872,0.160377358490566,0.09517365809652684
50017,44,1721,510,33,0.0135396518375242,0.2963393375944218
