CNTYVTD,VTDKEY,DavisR_22P_U.S. Rep 32,DayR_22P_U.S. Rep 32,NamdarR_22P_U.S. Rep 32,OkpaR_22P_U.S. Rep 32,SwadR_22P_U.S. Rep 32,WebbR_22P_U.S. Rep 32
1132134,2332,4,2,4,3,11,9
1132137,2333,2,3,2,5,5,3
1132138,2334,0,2,5,1,7,3
1132139,2335,4,2,0,0,8,3
1132140,2336,2,0,0,3,9,4
1132141,2337,2,1,1,2,8,2
1132142,2338,7,2,1,0,11,5
1132143,2339,1,2,0,1,3,7
1132144,2340,8,7,9,6,22,12
1132145,2341,13,5,8,5,18,17
1132146,2342,6,8,9,1,18,14
1132147,2343,25,10,8,7,54,40
1132148,2344,2,0,0,1,5,0
1132149,2345,6,5,6,6,27,19
1132150,2346,6,4,0,3,10,2
1132151,2347,3,0,1,1,6,3
1132152,2348,5,4,2,1,12,8
1132153,2349,10,7,5,4,20,12
1132154,2350,0,0,0,0,1,0
1132155,2351,12,17,8,11,51,28
1132305,2367,14,13,8,4,34,19
1132402,2380,42,37,19,6,130,41
1132403,2381,0,0,0,0,0,0
1132404,2382,24,17,9,5,59,22
1132406,2384,42,34,18,12,113,48
1132410,2388,15,14,3,8,58,17
1132417,2391,5,2,2,0,9,4
1132501,2393,22,17,42,9,83,37
1132502,2394,24,59,31,18,134,74
1132505,2397,21,20,15,18,90,27
1132508,2400,24,31,10,10,70,41
1132509,2401,45,51,125,14,139,51
1132510,2402,16,27,16,8,66,43
1132511,2403,28,28,27,11,103,20
1132512,2404,19,19,18,4,92,24
1132513,2405,24,34,27,11,105,32
1132514,2406,47,38,29,17,120,49
1132517,2408,13,12,7,5,37,25
1132518,2409,27,22,42,12,107,33
1132519,2410,16,21,13,9,56,14
1132520,2411,39,27,18,13,103,37
1132521,2412,21,28,28,9,69,28
1132523,2413,9,3,8,6,16,10
1132901,2440,8,5,0,4,15,10
1132902,2441,13,10,12,4,38,15
1132903,2442,14,9,2,8,55,28
1132913,2447,0,1,0,0,1,0
113291,2448,0,0,0,0,0,0
1133116,2570,0,0,0,0,0,0
1133308,2596,17,8,9,3,45,17
1133314,2602,20,21,17,5,71,33
1133327,2610,0,0,0,0,0,0
1133328,2611,0,0,1,0,0,2
1212100,3038,32,10,8,3,57,29
1212101,3039,22,10,12,5,38,16
1212102,3040,80,23,12,13,86,59
1212103,3041,46,10,8,9,65,31
1212109,3047,56,28,26,12,88,39
